District Name,District Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Abby Kelley Foster Charter Public (District),04450000,   7.7,   2.6,   5.9,   4.3,   2.5,   4.3,   6.7,   4.4,  17.1,   3.1,   7.2,   4.1,   5.8
Abington,00010000,   6.1,   4.1,   5.0,   4.8,   4.8,   4.3,   5.3,   4.4,  28.6,   4.2,   7.1,   3.3,   7.0
Academy Of the Pacific Rim Charter Public (District),04120000,,,,,,   1.8,  13.2,   8.1,  22.4,   2.5,   8.1,   4.8,   9.0
Acton-Boxborough,06000000,   4.9,   5.8,   6.2,   4.5,   6.7,   2.8,   7.2,   3.9,  14.7,   2.9,   4.1,   1.1,   5.4
Acushnet,00030000,   2.2,   8.1,   3.5,   4.1,   4.0,   1.9,   5.0,   5.9,,,,,   4.3
Advanced Math and Science Academy Charter (District),04300000,,,,,,,   0.8,   2.4,   9.0,   4.1,   5.9,   2.0,   4.0
Agawam,00050000,   5.3,   7.1,   4.5,   7.0,   5.5,   6.5,   6.1,   2.3,   7.6,   4.1,   5.6,   1.0,   5.2
Alma del Mar Charter School (District),04090000,   1.0,   4.0,   4.9,   4.9,   5.9,   2.0,   3.5,   1.1,,,,,   3.4
Amesbury,00070000,  15.3,  12.1,   7.0,  13.4,   4.4,   7.0,   7.3,   3.9,  25.7,   8.3,   3.3,   3.8,   9.3
Amherst,00080000,   6.0,   7.7,  13.1,   7.6,   7.8,  12.3,,,,,,,   9.2
Amherst-Pelham,06050000,,,,,,,,   5.7,   9.5,   6.6,   4.4,   2.8,   5.8
Andover,00090000,   5.4,   5.7,   4.0,   6.2,   4.8,   6.4,   5.3,   2.9,  20.8,   5.6,   5.3,   3.7,   6.5
Argosy Collegiate Charter School (District),35090000,,,,,,,  10.2,   5.6,  40.4,   9.4,  10.0,   3.4,  14.6
Arlington,00100000,   9.2,   8.3,   6.5,   6.7,   4.7,   7.4,   5.2,   6.1,  21.9,   3.3,   3.4,   1.9,   7.2
Ashburnham-Westminster,06100000,   3.5,   3.4,   6.3,   3.8,   2.4,   3.4,   4.7,   3.1,  23.9,   8.4,   3.1,   4.6,   6.1
Ashland,00140000,   4.0,   6.1,   7.4,   5.0,   6.0,   4.7,   2.6,   3.2,  13.8,   2.6,   4.0,   2.2,   5.1
Assabet Valley Regional Vocational Technical,08010000,,,,,,,,,,   3.7,   4.2,   2.2,   3.4
Athol-Royalston,06150000,   9.1,   7.3,   7.5,  13.7,   6.4,  11.5,  21.0,   6.9,  17.4,   8.3,  12.7,   6.5,  10.8
Atlantis Charter (District),04910000,   8.3,   4.5,   3.6,   8.5,   3.7,   4.5,   7.3,   0.9,  60.0,  13.6,   2.4,   6.3,  10.5
Attleboro,00160000,   6.2,   6.7,   2.5,   6.5,   6.0,   5.5,   4.0,   5.0,   7.4,   5.4,   4.3,   0.7,   5.0
Auburn,00170000,   3.0,   2.7,   4.8,   4.3,   2.0,   3.6,   2.8,   3.7,  29.9,   4.7,   4.6,   1.1,   5.7
Avon,00180000,  16.7,   6.7,   7.5,  11.1,   1.9,   0.0,  19.3,   6.8,  25.8,   7.4,   8.0,   8.0,  10.0
Ayer Shirley School District,06160000,   8.3,   4.2,   9.8,   1.6,  10.2,  15.0,  10.1,   6.6,  30.9,   7.3,  10.5,  11.4,  10.6
Barnstable,00200000,   5.2,   8.3,   7.7,   6.5,   8.0,  15.7,   7.0,   5.4,  24.1,   5.0,   4.3,   2.5,   8.6
Baystate Academy Charter Public School (District),35020000,,,,,,,   9.3,  10.5,  18.4,   7.0,   6.0,  10.0,  10.4
Bedford,00230000,   4.9,   6.0,   5.6,   5.2,   4.3,   3.6,   3.3,   3.0,   8.8,   4.0,   5.5,   4.5,   4.9
Belchertown,00240000,   7.7,   4.3,   7.3,   5.7,   4.0,   4.5,   6.3,   3.0,  27.7,   8.1,   3.2,   2.6,   7.4
Bellingham,00250000,  12.3,   5.5,   5.1,   8.6,   3.2,   4.9,   4.9,   1.6,  22.0,   3.8,   5.4,   1.5,   6.6
