District Name,District Code,Total # of Classes,Average Class Size,Number of Students,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %"
Abby Kelley Foster Charter Public (District),04450000,     713,  18.9,"      1,425",  54.3,   3.4,  19.7,  16.8,   0.6,   0.1,   5.1
Abington,00010000,"   1,017",  19.8,"      2,178",   5.0,   2.3,  11.5,  78.7,   0.5,   0.1,   2.0
Academy Of the Pacific Rim Charter Public (District),04120000,     201,  19.7,        538,  62.6,   0.7,  28.4,   6.7,   0.0,   0.2,   1.3
Acton-Boxborough,06000000,"   2,368",  17.1,"      5,246",   3.2,  33.6,   6.5,  51.6,   0.1,   0.1,   5.0
Acushnet,00030000,     400,  15.2,        913,   1.2,   1.0,   4.2,  89.8,   0.2,   0.0,   3.6
Advanced Math and Science Academy Charter (District),04300000,     490,  18.6,        960,   1.9,  17.2,   7.2,  67.6,   0.0,   0.0,   6.2
Agawam,00050000,"   2,666",  13.7,"      3,476",   2.2,   3.4,  10.9,  80.3,   0.0,   0.0,   3.1
Alma del Mar Charter School (District),04090000,     236,  24.1,        791,  13.8,   0.1,  60.7,  20.9,   0.6,   0.0,   3.9
Amesbury,00070000,"   1,115",  15.1,"      1,869",   1.9,   1.2,   9.7,  82.6,   0.2,   0.1,   4.3
Amherst,00080000,     392,  15.2,"      1,014",  10.1,  10.9,  22.7,  48.4,   0.4,   0.2,   7.4
Amherst-Pelham,06050000,     995,  12.8,"      1,280",   8.1,   9.1,  18.7,  54.6,   0.0,   0.0,   9.5
Andover,00090000,"   3,729",  12.3,"      5,614",   2.7,  19.0,   7.9,  66.5,   0.1,   0.1,   3.7
Argosy Collegiate Charter School (District),35090000,     244,  21.8,        578,  13.7,   2.3,  25.4,  52.6,   0.5,   0.0,   5.5
Arlington,00100000,"   3,172",  15.7,"      5,765",   3.5,  12.9,   6.3,  69.8,   0.1,   0.1,   7.3
Ashburnham-Westminster,06100000,"   1,230",  17.4,"      2,247",   1.2,   1.0,   5.5,  89.3,   0.1,   0.0,   3.0
Ashland,00140000,"   1,741",  15.4,"      2,776",   3.0,  15.9,  14.7,  62.4,   0.4,   0.0,   3.5
Assabet Valley Regional Vocational Technical,08010000,     673,  12.3,"      1,138",   1.7,   0.5,  22.3,  73.0,   0.1,   0.0,   2.4
Athol-Royalston,06150000,     685,  18.6,"      1,485",   1.9,   1.0,  11.5,  81.4,   0.1,   0.0,   4.2
Atlantis Charter (District),04910000,     542,  13.1,"      1,290",   5.4,   2.2,  15.2,  73.3,   0.1,   0.1,   3.9
Attleboro,00160000,"   3,057",  17.1,"      5,768",   6.9,   4.6,  15.6,  66.3,   0.2,   0.1,   6.4
Auburn,00170000,"   1,520",  16.2,"      2,526",   2.5,   4.7,   9.7,  79.9,   0.1,   0.0,   3.1
Avon,00180000,     356,  13.4,        696,  30.0,   4.5,  12.4,  45.8,   0.6,   0.0,   6.8
Ayer Shirley School District,06160000,     950,  16.4,"      1,615",   3.8,   3.2,  11.1,  74.9,   0.7,   0.3,   6.0
Barnstable,00200000,"   3,180",  10.1,"      4,598",   8.6,   2.1,  20.6,  61.4,   0.4,   0.1,   6.9
Baystate Academy Charter Public School (District),35020000,     369,  13.3,        470,  27.7,   0.9,  60.0,   9.8,   0.0,   0.4,   1.3
Bedford,00230000,"   1,162",  14.9,"      2,621",   6.5,  19.8,   7.3,  60.6,   0.0,   0.0,   5.8
Belchertown,00240000,"   1,189",  15.8,"      2,172",   1.7,   1.2,   6.5,  86.7,   0.3,   0.2,   3.6
Bellingham,00250000,     787,  16.4,"      2,004",   2.2,   3.0,   7.4,  84.4,   0.1,   0.3,   2.7
Belmont,00260000,"   2,062",  18.9,"      4,439",   3.4,  21.3,   4.0,  63.0,   0.1,   0.1,   8.2
Benjamin Banneker Charter Public (District),04200000,     117,  12.6,        338,  78.4,   1.8,  11.2,   2.7,   0.3,   0.6,   5.0
Benjamin Franklin Classical Charter Public (District),04470000,     224,  26.0,        772,   3.0,  19.2,   4.7,  68.4,   0.4,   0.3,   4.2
Berkley,00270000,     468,  12.7,        879,   0.8,   0.2,   2.5,  91.8,   0.1,   0.1,   4.4
Berkshire Arts and Technology Charter Public (District),04140000,     141,  18.5,        366,  12.3,   2.7,  12.3,  66.4,   0.3,   0.0,   6.0
Berkshire Hills,06180000,     763,  10.9,"      1,169",   1.6,   3.0,  11.3,  77.9,   0.2,   0.3,   5.7
Berlin-Boylston,06200000,     686,  15.7,"      1,057",   1.5,   4.5,   7.5,  82.5,   0.3,   0.1,   3.6
Beverly,00300000,"   1,732",  16.4,"      4,655",   3.5,   2.5,  14.9,  75.0,   0.1,   0.0,   4.0
Billerica,00310000,"   3,002",  13.2,"      4,638",   5.3,   9.1,   8.1,  74.1,   0.1,   0.1,   3.3
Blackstone Valley Regional Vocational Technical,08050000,     796,  17.4,"      1,230",   1.2,   2.0,   7.9,  86.4,   0.0,   0.1,   2.4
Blackstone-Millville,06220000,     887,  14.6,"      1,590",   1.8,   0.8,   8.4,  84.7,   0.0,   0.0,   4.4
Blue Hills Regional Vocational Technical,08060000,     329,  19.1,        874,  22.1,   2.3,  15.1,  54.4,   0.7,   0.0,   5.5
Boston,00350000,"  27,831",  16.2,"     49,310",  29.5,   9.0,  42.8,  14.8,   0.3,   0.2,   3.5
Boston Collegiate Charter (District),04490000,     212,  24.7,        719,  34.6,   1.8,  17.5,  42.7,   0.1,   0.1,   3.1
Boston Day and Evening Academy Charter (District),04240000,     415,  14.7,        437,  47.4,   0.7,  45.5,   4.1,   0.9,   0.0,   1.4
Boston Green Academy Horace Mann Charter School (District),04110000,     270,  16.4,        501,  44.3,   1.8,  43.9,   6.6,   0.2,   0.4,   2.8
Boston Preparatory Charter Public (District),04160000,     207,  19.4,        663,  68.2,   0.5,  27.3,   1.1,   0.0,   0.2,   2.9
Boston Renaissance Charter Public (District),04810000,     500,  16.5,        951,  60.3,   0.1,  34.6,   1.6,   0.1,   0.0,   3.4
Bourne,00360000,     999,  15.2,"      1,656",   1.8,   1.9,   5.4,  85.9,   1.2,   0.0,   3.9
Boxford,00380000,     352,  13.9,        678,   0.3,   3.5,   3.5,  87.9,   0.0,   0.0,   4.7
Braintree,00400000,"   3,180",  14.8,"      5,517",   5.3,  23.6,   5.2,  63.6,   0.2,   0.2,   2.1
Brewster,00410000,     322,  13.9,        429,   3.3,   0.7,   8.6,  81.1,   0.0,   0.0,   6.3
Bridge Boston Charter School (District),04170000,     125,  15.3,        335,  66.0,   0.9,  26.6,   3.0,   0.0,   0.3,   3.3
Bridgewater-Raynham,06250000,"   1,866",  18.8,"      5,353",   8.0,   2.3,   3.6,  80.8,   0.1,   0.1,   5.1
Brimfield,00430000,      81,  18.5,        260,   1.9,   1.2,   5.0,  91.5,   0.4,   0.0,   0.0
Bristol County Agricultural,09100000,     228,  18.7,        448,   2.2,   0.5,   4.5,  91.1,   0.0,   0.2,   1.6
Bristol-Plymouth Regional Vocational Technical,08100000,"   1,036",  18.9,"      1,310",   3.6,   1.0,   6.0,  85.3,   0.4,   0.0,   3.7
Brockton,00440000,"   7,619",  18.3,"     15,418",  60.9,   1.9,  17.0,  15.3,   0.3,   0.2,   4.5
Brooke Charter School (District),04280000,     937,  17.3,"      2,060",  52.4,   1.8,  38.9,   4.0,   0.2,   0.1,   2.6
Brookfield,00450000,      85,  16.1,        259,   0.4,   0.8,   5.4,  89.2,   0.0,   0.0,   4.3
