District Name,District Code,<26 yrs (# ),26-32 yrs (#),33-40 yrs (#),41-48 yrs (#),49-56 yrs (#),57-64 yrs (#),Over 64 yrs (#),FTE Count
Abby Kelley Foster Charter Public (District),04450000,      11.0,      43.0,      44.0,      46.0,      19.8,      13.0,       5.4,     182.2
Abington,00010000,      12.0,      41.0,      54.5,      54.8,      62.8,      36.0,       8.0,     269.1
Academy Of the Pacific Rim Charter Public (District),04120000,      17.0,      38.6,      19.5,       4.0,       4.2,       6.2,       1.0,      90.4
Acton-Boxborough,06000000,      38.0,      91.7,     133.0,     201.7,     182.8,     117.9,      23.1,     788.1
Acushnet,00030000,       2.0,      13.0,      22.0,      34.3,      30.3,      15.8,       3.0,     120.3
Advanced Math and Science Academy Charter (District),04300000,       5.0,      21.0,      27.0,      17.1,      29.0,      19.2,       5.0,     123.3
Agawam,00050000,      33.6,      80.0,     138.6,     147.6,     127.6,      92.7,      21.0,     641.0
Alma del Mar Charter School (District),04090000,      28.3,      57.0,      20.0,      10.0,       6.0,       3.0,       0.0,     124.3
Amesbury,00070000,       3.0,      35.3,      37.2,      42.6,      71.9,      49.8,       5.5,     245.3
Amherst,00080000,       9.0,      34.5,      60.1,      50.6,      56.0,      50.1,       6.8,     267.3
Amherst-Pelham,06050000,       9.0,      32.3,      50.0,      55.3,      51.1,      52.0,      11.5,     261.3
Andover,00090000,      31.4,     106.2,     148.2,     188.8,     246.8,     162.4,      40.5,     924.2
Argosy Collegiate Charter School (District),35090000,      18.5,      18.0,      14.7,       8.6,       4.7,       0.9,       0.4,      66.0
Arlington,00100000,      59.8,     168.9,     178.6,     167.0,     152.9,      80.1,      37.6,     844.9
Ashburnham-Westminster,06100000,      13.0,      47.4,      45.6,      75.0,      68.3,      45.4,      10.0,     304.6
Ashland,00140000,      26.3,      60.6,      69.5,      69.8,      91.9,      50.7,      15.0,     383.9
Assabet Valley Regional Vocational Technical,08010000,       1.0,      12.5,      39.0,      41.0,      30.0,      25.5,       2.5,     151.5
Athol-Royalston,06150000,      13.0,      29.5,      40.4,      43.5,      47.0,      39.2,       4.0,     216.6
Atlantis Charter (District),04910000,      19.0,      60.0,      35.3,      32.0,      21.5,      10.0,       8.0,     185.8
Attleboro,00160000,      37.5,      80.3,     128.7,     161.8,     136.1,     127.0,      28.2,     699.6
Auburn,00170000,      21.9,      47.8,      68.6,      73.6,      69.8,      46.7,       7.0,     335.4
Avon,00180000,       6.5,      16.0,      26.0,      22.3,      17.7,      11.1,       2.0,     101.6
Ayer Shirley School District,06160000,      11.0,      31.1,      45.7,      48.1,      54.8,      47.5,      16.5,     254.7
Barnstable,00200000,      34.1,     100.3,     120.5,     148.2,     200.5,     130.6,      41.4,     775.6
Baystate Academy Charter Public School (District),35020000,      10.2,      16.9,      11.0,      12.0,       7.0,       3.0,       1.0,      61.1
Bedford,00230000,      30.7,      69.0,      98.1,      92.3,      91.1,      48.6,       8.3,     438.0
Belchertown,00240000,       4.0,      32.7,      57.7,      77.1,      64.3,      60.6,      13.3,     309.7
Bellingham,00250000,      19.5,      38.6,      71.2,      68.6,      73.3,      51.3,      17.9,     340.3
Belmont,00260000,      16.9,      82.1,     129.2,     111.9,      86.2,      48.8,      22.5,     497.6
Benjamin Banneker Charter Public (District),04200000,       4.0,      15.0,      11.0,      12.0,       1.2,       7.8,       4.1,      55.1
Benjamin Franklin Classical Charter Public (District),04470000,       9.0,      20.4,      20.7,      27.8,      20.4,       7.9,       1.0,     107.1
Berkley,00270000,       6.0,      10.0,      22.0,      29.0,      26.8,      17.0,       3.0,     113.8
Berkshire Arts and Technology Charter Public (District),04140000,       0.0,      14.0,      18.9,      15.7,       5.8,       4.0,       3.5,      61.7
Berkshire Hills,06180000,       1.0,      14.8,      27.6,      35.1,      73.6,      42.0,      22.3,     216.4
Berlin-Boylston,06200000,       4.0,      16.5,      24.5,      32.6,      39.7,      31.4,       5.4,     154.1
Beverly,00300000,      49.5,      93.4,     120.4,     129.7,     112.7,     101.9,      28.3,     635.8
Billerica,00310000,      25.7,      74.4,     167.4,     170.4,     152.0,     100.1,      15.7,     705.8
Blackstone Valley Regional Vocational Technical,08050000,       5.0,      29.0,      27.0,      33.1,      41.3,      28.2,       7.0,     170.6
Blackstone-Millville,06220000,      11.9,      20.8,      32.7,      41.5,      62.0,      33.6,       2.9,     205.4
Blue Hills Regional Vocational Technical,08060000,       4.0,      13.0,      22.5,      20.9,      33.7,      19.5,       3.5,     117.1
Boston,00350000,     326.9,"   1,754.8","   1,999.7","   1,733.4","   1,432.0","   1,035.9",     280.5,"   8,563.2"
Boston Collegiate Charter (District),04490000,      21.0,      45.0,      27.7,      14.8,       5.3,       3.0,       0.6,     117.3
Boston Day and Evening Academy Charter (District),04240000,       1.0,      17.0,      11.0,      12.1,       7.5,       5.0,       0.0,      53.6
Boston Green Academy Horace Mann Charter School (District),04110000,       2.8,      23.3,      20.8,      15.1,       7.1,       4.0,       0.0,      73.2
Boston Preparatory Charter Public (District),04160000,      25.2,      42.0,      21.6,       5.7,       4.6,       0.5,       0.0,      99.6
Boston Renaissance Charter Public (District),04810000,      11.0,      46.0,      34.0,      28.0,      26.5,      12.0,       1.5,     159.0
Bourne,00360000,      12.9,      27.0,      34.0,      55.5,      56.9,      51.5,      14.6,     252.5
Boxford,00380000,       5.0,      10.3,      17.8,      25.7,      31.7,      28.1,       5.1,     123.6
Braintree,00400000,      29.0,     121.8,     181.1,     137.1,     159.3,      98.0,      26.3,     752.7
Brewster,00410000,       0.5,       7.7,       9.6,      16.0,      28.0,      25.0,       5.6,      92.4
Bridge Boston Charter School (District),04170000,      12.7,      30.3,      12.6,       3.0,       6.0,       4.1,       0.0,      68.6
Bridgewater-Raynham,06250000,      17.0,      77.1,     113.0,      93.8,     119.5,      84.8,      19.0,     524.3
Brimfield,00430000,       1.3,       4.0,       9.8,      12.3,      12.1,       2.8,       2.0,      44.1
Bristol County Agricultural,09100000,       2.0,      10.0,      17.0,       9.2,       9.0,       6.0,       2.0,      55.2
Bristol-Plymouth Regional Vocational Technical,08100000,       2.0,       8.0,      27.6,      38.1,      43.5,      30.2,       3.6,     153.1
Brockton,00440000,     107.2,     239.2,     369.8,     433.1,     430.7,     298.2,      73.0,"   1,951.2"
Brooke Charter School (District),04280000,      55.0,     144.0,      71.0,      19.0,       6.0,       0.0,       0.0,     295.0
Brookfield,00450000,       1.3,       0.6,       6.4,       8.3,      11.7,      14.2,       0.0,      42.4
Brookline,00460000,      91.8,     301.7,     313.1,     244.6,     222.9,     133.3,      40.8,"   1,348.2"
Burlington,00480000,      36.6,      78.5,     144.6,     110.1,     102.0,      69.0,      15.9,     556.7
Cambridge,00490000,      68.8,     313.5,     365.3,     319.5,     257.8,     149.5,      45.6,"   1,520.0"
Canton,00500000,      25.0,      53.0,     101.7,     105.2,      89.4,      54.6,      12.7,     441.7
Cape Cod Lighthouse Charter (District),04320000,       1.0,       2.2,       7.0,      11.3,       8.4,       9.8,       1.8,      41.5
Cape Cod Regional Vocational Technical,08150000,       2.0,       4.4,      16.9,      19.6,      28.7,      26.4,       4.8,     102.8
Carlisle,00510000,       9.0,      10.0,      23.5,      25.4,      20.8,      21.8,       1.0,     111.5
Carver,00520000,      10.2,      30.1,      32.8,      42.3,      53.7,      37.5,       5.0,     211.6
Central Berkshire,06350000,       6.0,      20.0,      42.1,      47.5,      61.7,      42.0,       9.0,     228.3
Chelmsford,00560000,      25.5,      95.9,     138.0,     160.6,     176.0,     114.3,      30.0,     740.3
Chelsea,00570000,      75.3,     225.6,     153.7,     102.3,      94.9,      72.4,      25.8,     750.0
Chesterfield-Goshen,06320000,       1.0,       3.0,       2.1,       7.6,       4.2,       5.4,       1.2,      24.6
Chicopee,00610000,      41.0,     144.0,     243.7,     254.9,     238.1,     167.2,      40.0,"   1,128.9"
Christa McAuliffe Charter Public (District),04180000,       7.0,      22.0,      13.8,      10.0,       9.0,       5.5,       1.0,      68.3
City on a Hill Charter Public School Circuit Street (District),04370000,       9.0,      16.1,      13.0,       4.0,       2.0,       0.5,       0.8,      45.4
Clarksburg,00630000,       3.0,       3.5,       3.9,       6.0,       9.1,       2.5,       0.6,      28.5
Clinton,00640000,      14.0,      44.0,      45.7,      50.9,      54.1,      44.4,       6.0,     259.0
Codman Academy Charter Public (District),04380000,      13.0,      34.0,      11.4,      12.5,       7.7,       2.0,       0.0,      80.6
Cohasset,00650000,       7.3,      31.2,      35.2,      32.9,      73.9,      30.9,       6.1,     217.4
Collegiate Charter School of Lowell (District),35030000,      19.0,      31.0,      15.0,       9.0,       8.0,       5.0,       4.0,      91.0
Community Charter School of Cambridge (District),04360000,       7.5,      29.9,      17.6,       7.3,       2.5,       2.0,       0.8,      67.5
Community Day Charter Public School - Gateway (District),04260000,      14.5,      24.3,      15.4,       6.4,       4.9,       3.1,       0.5,      69.1
Community Day Charter Public School - Prospect (District),04400000,       7.0,      25.6,      10.8,      10.3,       4.0,       6.9,       1.7,      66.3
Community Day Charter Public School - R. Kingman Webster (District),04310000,      17.0,      21.6,       9.9,       6.4,       2.4,       1.1,       0.3,      58.6
