District Name,District Code,Tests Takers,Tests Taken,One Test,Two Tests,Three Tests,Four Tests,Five or More Tests,
Abington,00010000,      69,     100,      43,      22,       3,       1,       0,
Academy Of the Pacific Rim Charter Public (District),04120000,      74,     109,      46,      21,       7,       0,       0,
Acton-Boxborough,06000000,     451,"   1,070",     137,     136,      94,      49,      35,
Advanced Math and Science Academy Charter (District),04300000,     247,     504,      99,      62,      63,      23,       0,
Agawam,00050000,     129,     209,      72,      42,       9,       5,       1,
Amesbury,00070000,      84,     126,      43,      40,       1,       0,       0,
Amherst-Pelham,06050000,     116,     178,      64,      43,       8,       1,       0,
Andover,00090000,     495,     986,     207,     157,      75,      42,      14,
Arlington,00100000,     437,     893,     161,     142,      95,      33,       6,
Ashburnham-Westminster,06100000,      59,      97,      32,      19,       6,       1,       1,
Ashland,00140000,     187,     377,      83,      45,      38,      15,       6,
Assabet Valley Regional Vocational Technical,08010000,      52,      68,      37,      14,       1,       0,       0,
Athol-Royalston,06150000,      60,      97,      31,      21,       8,       0,       0,
Atlantis Charter (District),04910000,      59,      96,      29,      24,       5,       1,       0,
Attleboro,00160000,     377,     596,     195,     145,      37,       0,       0,
Auburn,00170000,     180,     285,     105,      52,      17,       5,       1,
Avon,00180000,      13,      21,       6,       6,       1,       0,       0,
Ayer Shirley School District,06160000,      52,     110,      19,      16,      13,       2,       2,
Barnstable,00200000,     307,     474,     205,      61,      26,       9,       6,
Baystate Academy Charter Public School (District),35020000,      13,      13,      13,       0,       0,       0,       0,
Bedford,00230000,     163,     275,      90,      44,      21,       7,       1,
Belchertown,00240000,      40,      62,      25,       9,       5,       1,       0,
Bellingham,00250000,     115,     207,      53,      38,      20,       2,       2,
Belmont,00260000,     491,"   1,037",     209,     130,      72,      52,      28,
Berkshire Arts and Technology Charter Public (District),04140000,      28,      37,      19,       9,       0,       0,       0,
Berkshire Hills,06180000,      74,      99,      54,      15,       5,       0,       0,
Berlin-Boylston,06200000,      52,      85,      28,      17,       5,       2,       0,
Beverly,00300000,     158,     269,      87,      41,      23,       5,       2,
Billerica,00310000,     220,     457,      92,      66,      35,      17,      10,
Blackstone Valley Regional Vocational Technical,08050000,     233,     359,     129,      89,      10,       4,       1,
Blackstone-Millville,06220000,      57,      91,      37,      10,       6,       4,       0,
Blue Hills Regional Vocational Technical,08060000,      43,      59,      27,      16,       0,       0,       0,
Boston,00350000,"   3,161","   5,505","   1,636",     907,     459,     122,      37,
Boston Collegiate Charter (District),04490000,     112,     218,      45,      40,      15,      12,       0,
Boston Green Academy Horace Mann Charter School (District),04110000,      37,      59,      19,      14,       4,       0,       0,
Boston Preparatory Charter Public (District),04160000,      43,      63,      28,      10,       5,       0,       0,
Bourne,00360000,      72,     135,      30,      24,      16,       1,       1,
Braintree,00400000,     362,     774,     147,      96,      59,      45,      15,
Bridgewater-Raynham,06250000,     228,     370,     129,      70,      18,       8,       3,
Bristol County Agricultural,09100000,      32,      54,      14,      14,       4,       0,       0,
Bristol-Plymouth Regional Vocational Technical,08100000,      52,      67,      38,      13,       1,       0,       0,
Brockton,00440000,     290,     423,     187,      78,      21,       3,       1,
Brooke Charter School (District),04280000,     193,     319,     103,      59,      26,       5,       0,
Brookline,00460000,     435,     757,     228,     117,      69,      17,       4,
Burlington,00480000,     146,     245,      84,      35,      18,       8,       1,
Cambridge,00490000,     417,     758,     212,     106,      68,      26,       5,
Canton,00500000,     252,     571,      83,      80,      57,      10,      22,
Cape Cod Regional Vocational Technical,08150000,      17,      26,       8,       9,       0,       0,       0,
Carver,00520000,      71,     106,      44,      19,       8,       0,       0,
Central Berkshire,06350000,     105,     167,      60,      30,      13,       2,       0,
Chelmsford,00560000,     260,     460,     128,      83,      35,      11,       3,
Chelsea,00570000,     125,     166,      89,      31,       5,       0,       0,
Chicopee,00610000,     214,     389,     117,      45,      37,       8,       7,
City on a Hill Charter Public School Circuit Street (District),04370000,      28,      50,      13,       8,       7,       0,       0,
Clinton,00640000,      60,      98,      34,      17,       7,       1,       1,
Codman Academy Charter Public (District),04380000,      14,      18,      11,       2,       1,       0,       0,
Cohasset,00650000,     192,     400,      63,      64,      51,      14,       0,
Community Charter School of Cambridge (District),04360000,      49,      88,      22,      17,       8,       2,       0,
Concord-Carlisle,06400000,     274,     512,     125,      78,      57,      10,       4,
Danvers,00710000,     186,     361,      84,      61,      22,      10,       9,
Dartmouth,00720000,     283,     600,     111,      78,      56,      27,      11,
Dedham,00730000,     209,     333,     127,      56,      15,       7,       4,
Dennis-Yarmouth,06450000,     139,     268,      57,      45,      27,      10,       0,
Dighton-Rehoboth,06500000,     118,     247,      46,      35,      22,      10,       5,
Douglas,00770000,      64,     138,      23,      16,      18,       6,       1,
Dover-Sherborn,06550000,     220,     550,      42,      78,      62,      26,      12,
Dracut,00790000,     122,     184,      78,      30,      11,       2,       1,
Dudley-Charlton Reg,06580000,     265,     476,     132,      74,      43,      13,       3,
Duxbury,00820000,     323,     682,     130,      84,      65,      32,      12,
East Bridgewater,00830000,     136,     285,      40,      55,      29,      12,       0,
East Longmeadow,00870000,     155,     257,      84,      42,      27,       2,       0,
Easthampton,00860000,     115,     154,      84,      23,       8,       0,       0,
Easton,00880000,     267,     529,     108,      90,      45,      17,       7,
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,      62,      73,      51,      11,       0,       0,       0,
Essex North Shore Agricultural and Technical School District,08170000,     113,     149,      82,      26,       5,       0,       0,
Everett,00930000,     221,     355,     125,      64,      27,       4,       1,
Excel Academy Charter (District),04100000,     310,     602,     123,     103,      64,      19,       1,
Fairhaven,00940000,     180,     314,      76,      77,      24,       3,       0,
Fall River,00950000,     248,     487,     109,      71,      41,      22,       5,
