District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Abby Kelley Foster Charter Public (District),4450000,713,18.9,"1,425",54.4,45.6,13.6,13,48.6
Abington,10000,"1,017",19.8,"2,178",49.7,50.3,8.3,16.5,30.1
Academy Of the Pacific Rim Charter Public (District),4120000,201,19.7,538,48.5,51.5,8.2,26,48.7
Acton-Boxborough,6000000,"2,368",17.1,"5,246",47.8,52.1,5.3,14.1,8.8
Acushnet,30000,400,15.2,913,47.5,52.5,0.2,12.7,27.7
Advanced Math and Science Academy Charter (District),4300000,490,18.6,960,47.6,52.3,2,6.3,10.7
Agawam,50000,"2,666",13.7,"3,476",48.3,51.6,4.8,16.8,34.7
Alma del Mar Charter School (District),4090000,236,24.1,791,55,45,30.5,19.7,66.6
Amesbury,70000,"1,115",15.1,"1,869",46.6,53.3,2.1,23.5,29.8
Amherst,80000,392,15.2,"1,014",48.2,51.5,11.8,23.3,35.2
Amherst-Pelham,6050000,995,12.8,"1,280",48.8,50.8,7.7,22.4,29.1
Andover,90000,"3,729",12.3,"5,614",49.8,50.2,3,19.7,10.2
Argosy Collegiate Charter School (District),35090000,244,21.8,578,45.7,54.3,20.9,24.2,67.7
Arlington,100000,"3,172",15.7,"5,765",49.5,50.2,4.4,16.2,9.8
Ashburnham-Westminster,6100000,"1,230",17.4,"2,247",48.9,51.1,1.7,20.4,20.6
Ashland,140000,"1,741",15.4,"2,776",48.5,51.5,6.4,18.4,19.2
Assabet Valley Regional Vocational Technical,8010000,673,12.3,"1,138",40.3,58.5,4.9,25.8,33.2
Athol-Royalston,6150000,685,18.6,"1,485",45.1,55,3,23.6,57.4
Atlantis Charter (District),4910000,542,13.1,"1,290",52.3,47.7,15,13.3,51.9
Attleboro,160000,"3,057",17.1,"5,768",47.1,52.8,5.3,18.1,34.8
Auburn,170000,"1,520",16.2,"2,526",49.9,50,2.4,11.6,23.4
Avon,180000,356,13.4,696,47.4,52.6,7.3,21.8,37.4
Ayer Shirley School District,6160000,950,16.4,"1,615",47.5,52.5,3.4,20.7,27.9
Barnstable,200000,"3,180",10.1,"4,598",48.4,51.4,13.4,17.7,43.7
Baystate Academy Charter Public School (District),35020000,369,13.3,470,45.3,54.7,8.7,20.2,76.8
Bedford,230000,"1,162",14.9,"2,621",48,51.9,4.6,17.2,10.7
Belchertown,240000,"1,189",15.8,"2,172",49.3,50.5,1.5,20.8,21.6
Bellingham,250000,787,16.4,"2,004",50.1,49.9,2.5,20.9,25.1
Belmont,260000,"2,062",18.9,"4,439",50.1,49.9,7.8,11.9,8.8
Benjamin Banneker Charter Public (District),4200000,117,12.6,338,50.3,49.4,4.4,16,55.9
Benjamin Franklin Classical Charter Public (District),4470000,224,26,772,50.4,49.6,7.5,14.4,15
Berkley,270000,468,12.7,879,49.3,50.7,0.9,16.4,22.4
Berkshire Arts and Technology Charter Public (District),4140000,141,18.5,366,46.2,53,1.4,21.6,51.9
Berkshire Hills,6180000,763,10.9,"1,169",49.9,50.1,4.7,16.8,34.8
Berlin-Boylston,6200000,686,15.7,"1,057",49.5,50.1,2.4,17.1,14.7
Beverly,300000,"1,732",16.4,"4,655",47.9,52.1,4,19.3,29.4
Billerica,310000,"3,002",13.2,"4,638",49.6,50.4,1.9,21.4,22
Blackstone Valley Regional Vocational Technical,8050000,796,17.4,"1,230",50.2,49.7,0.5,10.4,10.5
Blackstone-Millville,6220000,887,14.6,"1,590",47.9,52,1.6,17.1,29.1
Blue Hills Regional Vocational Technical,8060000,329,19.1,874,45.8,54.2,1.4,26.7,31.4
Boston,350000,"27,831",16.2,"49,310",48,52,29.3,22.4,64.3
Boston Collegiate Charter (District),4490000,212,24.7,719,51.3,48.7,4.5,18.4,38.7
Boston Day and Evening Academy Charter (District),4240000,415,14.7,437,52.9,47.1,16,34.8,71.2
Boston Green Academy Horace Mann Charter School (District),4110000,270,16.4,501,47.3,52.7,16.4,33.5,72.3
Boston Preparatory Charter Public (District),4160000,207,19.4,663,50.7,49.3,19.2,20.2,60.9
Boston Renaissance Charter Public (District),4810000,500,16.5,951,51.6,48.4,11.2,11.9,60.8
Bourne,360000,999,15.2,"1,656",51.3,48.6,0.9,18.8,31.3
Boxford,380000,352,13.9,678,47.6,52.4,1.2,20.1,7.8
Braintree,400000,"3,180",14.8,"5,517",49.3,50.7,6.4,19.5,22.9
Brewster,410000,322,13.9,429,49.9,50.1,4.7,22.4,32.6
Bridge Boston Charter School (District),4170000,125,15.3,335,53.1,46.9,27.8,24.2,66.6
Bridgewater-Raynham,6250000,"1,866",18.8,"5,353",48.2,51.8,2.5,17.1,21.8
Brimfield,430000,81,18.5,260,48.5,51.5,1.2,19.2,26.2
Bristol County Agricultural,9100000,228,18.7,448,74.1,25.7,0,15.4,24.8
Bristol-Plymouth Regional Vocational Technical,8100000,"1,036",18.9,"1,310",42.4,57.6,0.3,17.4,30.2
Brockton,440000,"7,619",18.3,"15,418",47.3,52.7,26.2,17.2,66.5
Brooke Charter School (District),4280000,937,17.3,"2,060",52.5,47.5,7.9,11.7,56.3
Brookfield,450000,85,16.1,259,46.3,53.7,0.4,14.7,31.7
Brookline,460000,"4,507",14.5,"6,834",49.2,50.6,8.4,18.4,11.9
Burlington,480000,"1,964",14.1,"3,474",49.1,50.8,5.8,13.1,17
Cambridge,490000,"4,599",11.9,"6,649",49.1,50.7,6,22.8,32.8
Canton,500000,"2,326",16.2,"3,193",51.1,48.8,2.6,13.2,18
Cape Cod Lighthouse Charter (District),4320000,191,14,250,48,52,0.4,17.6,18.4
Cape Cod Regional Vocational Technical,8150000,408,13.3,627,36,63.5,2.2,24.6,45.1
Carlisle,510000,380,13.7,589,47.9,52.1,2,16.3,4.9
Carver,520000,"1,169",10.5,"1,469",48.5,51.5,1.4,18.2,26.9
Central Berkshire,6350000,713,15.3,"1,498",47.4,52.6,0.7,16,36.6
Chelmsford,560000,"2,237",19.1,"4,925",47.9,52.1,4.4,16.5,15.5
Chelsea,570000,"2,758",14.6,"6,112",48.2,51.8,37.4,15.2,72.4
Chesterfield-Goshen,6320000,52,15.1,119,42.9,57.1,0,23.5,31.1
Chicopee,610000,"3,270",14.1,"6,855",46.3,53.7,6.1,18.4,60
Christa McAuliffe Charter Public (District),4180000,173,20.7,400,47,52.8,4.5,19.5,39.3
City on a Hill Charter Public School Circuit Street (District),4370000,89,18.3,275,48.4,51.6,23.6,23.3,70.6
Clarksburg,630000,98,16.1,192,50,50,0,18.8,32.3
Clinton,640000,850,15.8,"1,848",46.2,53.8,14.3,21.6,46.5
Codman Academy Charter Public (District),4380000,127,16.9,343,51.9,48.1,10.5,27.1,70.6
Cohasset,650000,901,16.3,"1,444",49.8,50.1,0.1,12.2,6.4
Collegiate Charter School of Lowell (District),35030000,335,27.1,"1,003",50.8,49.2,25.8,6.3,54.6
Community Charter School of Cambridge (District),4360000,84,21.1,306,57.2,42.8,5.9,16.3,45.8
Community Day Charter Public School - Gateway (District),4260000,120,20,399,47.9,52.1,19.3,12.5,67.9
Community Day Charter Public School - Prospect (District),4400000,114,21.1,400,50.3,49.8,24,12,65.3
Community Day Charter Public School - R. Kingman Webster (District),4310000,120,20.4,404,52.5,47.5,20.8,12.1,60.2
Concord,670000,"1,358",16.4,"2,027",48.6,51.4,2.3,17.6,8.2
Concord-Carlisle,6400000,536,19.5,"1,316",50.8,48.7,0.3,15.9,8.1
Conservatory Lab Charter (District),4390000,174,16.8,447,51.2,48.8,15.2,13.4,61.1
Conway,680000,93,14.5,130,43.9,56.2,0,16.9,23.9
Danvers,710000,"2,116",16.8,"3,327",48.7,51.3,1.4,18.7,21
Dartmouth,720000,"1,905",16.4,"3,431",48.2,51.8,1.7,18.2,25.9
Dedham,730000,"1,236",14.7,"2,564",47.8,52.1,5.6,22.1,25.7
Deerfield,740000,265,13.4,315,50.8,49.2,1.9,22.5,22.9
Dennis-Yarmouth,6450000,"1,454",12.6,"2,788",47.4,52.5,11.4,17.9,49
Dighton-Rehoboth,6500000,"1,406",18.8,"2,616",48,52,0.5,16.7,18.7
Douglas,770000,564,18.1,"1,181",48.1,51.9,0.6,18.5,19.1
Dover,780000,164,17.4,491,44.4,55.6,1.8,15.5,2.4
Dover-Sherborn,6550000,679,16.9,"1,181",47.7,52.2,0.3,14.3,4.2
Dracut,790000,"2,220",14.5,"3,675",48.1,51.8,2,16,29
Dudley Street Neighborhood Charter School (District),4070000,15,21,277,52.4,47.7,40.4,14.8,71.1
