District Name,District Code,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Law Enforcement Referral
Abby Kelley Foster Charter Public (District),04450000,"   1,437",       2,,,,,,,
Abington,00010000,"   2,214",      41,   1.1,   0.9,   0.0,   0.0,   0.0,   0.0,   0.0
Academy Of the Pacific Rim Charter Public (District),04120000,     544,       6,   0.4,   0.7,   0.0,   0.0,   0.2,   0.0,   0.0
Acton-Boxborough,06000000,"   5,320",       8,   0.0,   0.1,   0.0,   0.0,   0.0,   0.0,   0.1
Acushnet,00030000,     940,       6,   0.3,   0.3,   0.0,   0.0,   0.0,   0.0,   0.0
Advanced Math and Science Academy Charter (District),04300000,     974,      13,   0.4,   1.0,   0.0,   0.0,   0.0,   0.0,   0.0
Agawam,00050000,"   3,624",      14,   0.1,   0.3,   0.0,   0.0,   0.0,   0.0,   0.0
Alma del Mar Charter School (District),04090000,     808,      17,   0.6,   1.4,   0.0,   0.0,   0.2,   0.0,   0.0
Amesbury,00070000,"   2,009",       0,,,,,,,
Amherst,00080000,"   1,103",       0,,,,,,,
Amherst-Pelham,06050000,"   1,304",       0,,,,,,,
Andover,00090000,"   5,695",      15,   0.0,   0.2,   0.0,   0.0,   0.0,   0.0,   0.0
Argosy Collegiate Charter School (District),35090000,     579,      23,   3.1,   1.4,   0.0,   0.0,   0.0,   0.0,   0.0
Arlington,00100000,"   5,878",      18,   0.2,   0.2,   0.0,   0.0,   0.0,   0.0,   0.0
Ashburnham-Westminster,06100000,"   2,284",      30,   1.1,   0.3,   0.0,   0.0,   0.0,   0.0,   0.0
Ashland,00140000,"   2,832",      30,   0.1,   1.0,   0.0,   0.0,   0.0,   0.0,   0.0
Assabet Valley Regional Vocational Technical,08010000,"   1,149",      36,   0.0,   3.1,   0.0,   0.0,   0.0,   0.0,   0.0
Athol-Royalston,06150000,"   1,561",      41,   1.9,   1.7,   0.1,   0.0,   0.0,   0.0,   0.0
Atlantis Charter (District),04910000,"   1,313",       2,,,,,,,
Attleboro,00160000,"   5,934",      77,   0.6,   0.5,   0.0,   0.0,   0.5,   0.0,   0.0
Auburn,00170000,"   2,575",      23,   0.2,   0.7,   0.0,   0.0,   0.0,   0.0,   0.0
Avon,00180000,     708,       7,   0.1,   0.8,   0.0,   0.0,   0.0,   0.0,   0.0
Ayer Shirley School District,06160000,"   1,670",       8,   0.2,   0.3,   0.0,   0.0,   0.0,   0.0,   0.0
Barnstable,00200000,"   4,963",     118,   0.2,   2.3,   0.0,   0.0,   0.0,   0.0,   0.0
Baystate Academy Charter Public School (District),35020000,     481,       0,,,,,,,
Bedford,00230000,"   2,691",      33,   0.6,   0.9,   0.0,   0.0,   0.0,   0.0,   0.0
Belchertown,00240000,"   2,209",      13,   0.3,   0.3,   0.0,   0.0,   0.0,   0.0,   0.0
Bellingham,00250000,"   2,056",      11,   0.1,   0.4,   0.0,   0.0,   0.0,   0.0,   0.0
Belmont,00260000,"   4,536",       3,,,,,,,
Benjamin Banneker Charter Public (District),04200000,     345,       0,,,,,,,
Benjamin Franklin Classical Charter Public (District),04470000,     790,       0,,,,,,,
Berkley,00270000,     896,       0,,,,,,,
Berkshire Arts and Technology Charter Public (District),04140000,     385,       2,,,,,,,
Berkshire Hills,06180000,"   1,205",       2,,,,,,,
Berlin-Boylston,06200000,"   1,088",       8,   0.0,   0.7,   0.0,   0.0,   0.0,   0.0,   0.0
Beverly,00300000,"   4,749",      25,   0.1,   0.5,   0.0,   0.0,   0.0,   0.0,   0.0
