District Name,District Code,K,01,02,03,04,05,06,07,08,09,10,11,12,All Grades,Total Students
Abby Kelley Foster Charter Public (District),04450000,     117,     116,     119,     117,     122,     115,     120,     113,     111,      96,      87,      73,      61,"   1,367","       1,425"
Abington,00010000,     171,     176,     151,     132,     155,     146,     172,     139,     149,      64,      70,      60,      89,"   1,674","       2,107"
Academy Of the Pacific Rim Charter Public (District),04120000,,,,,,      56,      67,      73,      76,      81,      62,      53,      48,     516,         538
Acton-Boxborough,06000000,     287,     325,     372,     381,     405,     386,     416,     286,     325,     262,     266,     121,     114,"   3,946","       5,164"
Acushnet,00030000,      81,      82,     104,      91,      71,       0,       0,       0,       0,,,,,     429,         879
Advanced Math and Science Academy Charter (District),04300000,,,,,,,     122,     124,     122,     127,     105,      44,      78,     722,         960
Agawam,00050000,     225,     250,     245,     224,     271,     239,     257,     272,     276,     218,     170,     125,     116,"   2,888","       3,357"
Alma del Mar Charter School (District),04090000,     101,      98,     101,     103,      52,      49,      48,      44,      48,,,,,     644,         791
Amesbury,00070000,     136,     132,     113,     134,     135,     160,     168,     153,     143,      91,      76,      95,     124,"   1,660","       1,830"
Amherst,00080000,     129,     130,     144,     131,     153,     153,     138,,,,,,,     978,         978
Amherst-Pelham,06050000,,,,,,,,     207,     187,     117,     119,     153,     131,     914,"       1,285"
Andover,00090000,     318,     352,     451,     401,     416,     456,     454,     450,     476,     355,     330,     202,     298,"   4,959","       5,508"
Argosy Collegiate Charter School (District),35090000,,,,,,,     109,     109,     109,       0,       6,      10,      12,     355,         576
Arlington,00100000,     447,     480,     536,     461,     507,     442,     481,     445,     435,     239,     189,     136,     160,"   4,958","       5,692"
Ashburnham-Westminster,06100000,     136,     138,     178,     144,     161,     165,     179,     172,     160,      85,      88,      49,      67,"   1,722","       2,187"
Ashland,00140000,     201,     180,     202,     201,     218,     215,     236,     227,     220,     141,     126,     123,     115,"   2,405","       2,720"
Assabet Valley Regional Vocational Technical,08010000,,,,,,,,,,      24,      32,      22,      90,     168,"       1,138"
Athol-Royalston,06150000,     111,     108,     120,     131,     125,     122,     115,     114,     113,      68,      42,      35,      40,"   1,244","       1,426"
Atlantis Charter (District),04910000,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       5,      27,      32,"       1,290"
Attleboro,00160000,     336,     417,     394,     402,     413,     451,     426,     465,     476,     261,     235,     239,     238,"   4,753","       5,630"
Auburn,00170000,     164,     183,     187,     163,     202,     193,     212,     210,     166,     119,     148,     117,     130,"   2,194","       2,451"
Avon,00180000,      40,      45,      53,      54,      52,      62,      57,      50,      57,      39,      26,      30,      37,     602,         680
Ayer Shirley School District,06160000,     120,     142,     123,     125,     137,     133,     138,     137,     137,      93,      87,      67,      74,"   1,513","       1,552"
Barnstable,00200000,     344,     349,     362,     369,     335,     362,     305,     267,     328,     203,     188,     146,     129,"   3,687","       4,567"
Baystate Academy Charter Public School (District),35020000,,,,,,,      75,      76,      78,      71,       0,       0,       4,     304,         470
Bedford,00230000,       0,     183,     198,     213,     188,     195,     203,     195,     194,     188,     156,     158,     107,"   2,178","       2,583"
Belchertown,00240000,     143,     139,     151,     157,     150,     160,     179,     155,     155,     109,     132,     126,     102,"   1,858","       2,132"
Bellingham,00250000,     114,     129,     130,     140,     157,     143,     162,     180,      74,      74,      59,      81,      99,"   1,542","       1,933"
Belmont,00260000,     252,     337,     337,     343,     360,     338,     376,     372,     348,     274,     178,     117,     166,"   3,798","       4,371"
Benjamin Banneker Charter Public (District),04200000,      51,      45,      46,      50,      48,      42,      38,,,,,,,     320,         320
Benjamin Franklin Classical Charter Public (District),04470000,      95,      95,      96,      95,      96,      96,      95,      52,      52,,,,,     772,         772
Berkley,00270000,      75,      96,      84,      76,     100,      97,      93,     110,      97,,,,,     828,         833
Berkshire Arts and Technology Charter Public (District),04140000,,,,,,,      61,      67,      66,      47,      38,      40,      13,     332,         366
Berkshire Hills,06180000,      71,      63,      64,      54,      59,      81,      10,      57,      47,      80,      85,      95,      46,     812,"       1,158"
Berlin-Boylston,06200000,      78,      82,      69,      80,      66,      87,      70,      93,      75,      54,      32,      34,      50,     870,"       1,024"
Beverly,00300000,     360,     381,     366,     344,     350,     232,     339,     321,     291,     252,     271,     251,     194,"   3,952","       4,549"
Billerica,00310000,     370,     366,     364,     368,     355,     381,     363,     379,     220,     197,     164,     167,     208,"   3,902","       4,485"
Blackstone Valley Regional Vocational Technical,08050000,,,,,,,,,,      67,      69,     148,     198,     482,"       1,231"
Blackstone-Millville,06220000,     111,     106,     121,     127,     107,     144,      84,     121,     137,      63,      66,      68,      79,"   1,334","       1,526"
Blue Hills Regional Vocational Technical,08060000,,,,,,,,,,      30,      24,      26,      84,     164,         874
Boston,00350000,"   3,126","   3,330","   3,454","   3,467","   3,386","   3,008","   1,591","   2,435","   1,989","   1,102","   1,223","   1,288","   1,680","  31,079","      45,385"
Boston Collegiate Charter (District),04490000,,,,,,      65,      96,     106,      95,      90,      88,      80,      20,     640,         719
Boston Day and Evening Academy Charter (District),04240000,,,,,,,,,,       7,       1,       2,      11,      21,         437
Boston Green Academy Horace Mann Charter School (District),04110000,,,,,,,      26,      33,      31,      56,      29,      20,      24,     219,         487
Boston Preparatory Charter Public (District),04160000,,,,,,,      98,     107,     105,      48,      24,      27,      26,     435,         663
Boston Renaissance Charter Public (District),04810000,     128,     142,     140,     115,     108,     100,      55,,,,,,,     788,         831
Bourne,00360000,      76,     103,      97,     134,     127,     152,     136,     168,     141,      93,      55,      62,     104,"   1,448","       1,612"
Boxford,00380000,      81,     104,      81,      80,      97,     110,      95,,,,,,,     648,         648
Braintree,00400000,     305,     395,     419,     363,     413,     409,     416,     449,     415,     132,     288,     216,     210,"   4,430","       5,395"
Brewster,00410000,      66,      66,      66,      54,      81,      77,,,,,,,,     410,         410
Bridge Boston Charter School (District),04170000,      40,      37,      36,      40,      40,      35,      30,      27,       0,,,,,     285,         305
Bridgewater-Raynham,06250000,     387,     406,     403,     411,     363,     339,     346,     376,     278,      32,      22,      54,      80,"   3,497","       5,202"
Brimfield,00430000,       0,      41,      24,      39,      40,      32,      47,,,,,,,     223,         250
Bristol County Agricultural,09100000,,,,,,,,,,       0,       0,       0,       0,       0,         448
Bristol-Plymouth Regional Vocational Technical,08100000,,,,,,,,,,     187,      25,      26,      24,     262,"       1,311"
Brockton,00440000,"   1,150","   1,024","   1,060","   1,148","   1,273","   1,277","   1,151","   1,215","   1,287",     333,     596,     477,     514,"  12,505","      15,092"
Brooke Charter School (District),04280000,     191,     191,     191,     192,     192,     181,     182,     180,       0,       3,      95,       4,       2,"   1,604","       2,060"
Brookfield,00450000,       0,      35,      34,      36,      33,      39,      34,,,,,,,     211,         249
Brookline,00460000,     481,     494,     478,     533,     482,     523,     552,     491,     557,     379,     318,     209,     254,"   5,751","       6,625"
Burlington,00480000,       0,     275,     287,     294,     302,     278,     256,     241,     257,      77,      80,      76,     102,"   2,525","       3,394"
Cambridge,00490000,     576,     511,     513,     533,     475,     455,     416,     379,     410,     258,     256,     214,     244,"   5,240","       6,161"
Canton,00500000,     225,     240,     239,     223,     256,     249,     232,     269,     226,     176,     157,     141,     186,"   2,819","       3,140"
Cape Cod Lighthouse Charter (District),04320000,,,,,,,      83,      83,      82,,,,,     248,         251
Cape Cod Regional Vocational Technical,08150000,,,,,,,,,,      72,      65,       8,      10,     155,         626
Carlisle,00510000,      55,      53,      69,      68,      70,      57,      63,      78,      64,,,,,     577,         580
Carver,00520000,      81,     118,     119,     106,     128,     114,      89,      61,      43,      49,      26,      14,      25,     973,"       1,452"
Central Berkshire,06350000,      77,     102,      83,     101,     105,      86,      13,       8,     121,      75,      37,      47,      73,     928,"       1,476"
Chelmsford,00560000,     366,     356,     385,     401,     382,     360,     379,     384,     340,     254,     201,     198,     244,"   4,250","       4,819"
Chelsea,00570000,     482,     477,     514,     497,     499,     421,     473,     514,     418,     282,     313,     257,     195,"   5,342","       5,867"
