District Name,District Code,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total
Abby Kelley Foster Charter Public (District),04450000,       0,     119,     118,     119,     119,     120,     124,     119,     112,     109,      91,      93,      90,      93,       0,"   1,426"
Abington,00010000,      76,     174,     186,     171,     166,     148,     169,     142,     171,     165,     133,     148,     145,     154,       6,"   2,154"
Academy Of the Pacific Rim Charter Public (District),04120000,       0,       0,       0,       0,       0,       0,      49,      64,      67,      71,      65,      75,      59,      60,       0,     510
Acton-Boxborough,06000000,     106,     317,     316,     338,     375,     399,     399,     408,     404,     421,     385,     407,     456,     451,       4,"   5,186"
Acushnet,00030000,      53,      76,     101,      87,     119,     101,      81,     114,     104,      99,       0,       0,       0,       0,       0,     935
Advanced Math and Science Academy Charter (District),04300000,       0,       0,       0,       0,       0,       0,       0,     133,     142,     127,     134,     140,     143,     146,       0,     965
Agawam,00050000,     157,     229,     231,     254,     251,     225,     275,     245,     266,     314,     277,     252,     263,     220,       5,"   3,464"
Alma del Mar Charter School (District),04090000,       0,     102,     102,     101,     103,     103,      51,     149,     140,      93,       0,       0,       0,       0,       0,     944
Amesbury,00070000,      37,     136,     138,     123,     109,     129,     135,     155,     169,     156,     113,     132,     125,     133,       7,"   1,797"
Amherst,00080000,      55,     127,     142,     140,     145,     138,     154,     152,       0,       0,       0,       0,       0,       0,       0,"   1,053"
Amherst-Pelham,06050000,       0,       0,       0,       0,       0,       0,       0,       0,     195,     217,     207,     215,     206,     226,       4,"   1,270"
Andover,00090000,      77,     358,     369,     357,     460,     394,     411,     443,     451,     457,     420,     416,     415,     393,      35,"   5,456"
Argosy Collegiate Charter School (District),35090000,       0,       0,       0,       0,       0,       0,       0,     100,     103,     103,      77,      55,      63,      65,       0,     566
Arlington,00100000,      73,     486,     474,     471,     543,     469,     509,     452,     473,     433,     364,     372,     362,     385,       0,"   5,866"
Ashburnham-Westminster,06100000,      58,     165,     152,     156,     196,     170,     175,     182,     196,     197,     155,     168,     163,     128,      11,"   2,272"
Ashland,00140000,      77,     225,     229,     195,     212,     206,     218,     228,     237,     231,     209,     204,     175,     224,       0,"   2,870"
Assabet Valley Regional Vocational Technical,08010000,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     300,     292,     275,     272,       0,"   1,139"
Athol-Royalston,06150000,      67,     142,     117,     112,     129,     122,     130,     122,     105,     122,     115,     106,      74,      74,       2,"   1,539"
Atlantis Charter (District),04910000,       0,     109,     108,     110,     110,     105,     108,     109,     107,     109,      78,      61,      88,      75,       0,"   1,277"
Attleboro,00160000,     180,     421,     363,     416,     414,     415,     423,     457,     439,     469,     496,     446,     442,     469,      16,"   5,866"
Auburn,00170000,     109,     154,     177,     186,     189,     163,     217,     199,     220,     228,     163,     179,     199,     180,      10,"   2,573"
Avon,00180000,      24,      48,      45,      45,      52,      60,      63,      62,      51,      57,      64,      49,      45,      47,       3,     715
Ayer Shirley School District,06160000,      74,     138,     124,     145,     119,     132,     132,     121,     131,     138,     119,      88,      99,      62,       0,"   1,622"
Barnstable,00200000,     149,     360,     370,     352,     364,     368,     344,     326,     356,     372,     363,     347,     336,     330,      14,"   4,751"
Baystate Academy Charter Public School (District),35020000,       0,       0,       0,       0,       0,       0,       0,      58,      81,      74,      71,      66,      62,      44,       0,     456
Bedford,00230000,      46,     141,     171,     187,     195,     215,     188,     200,     206,     204,     226,     201,     204,     218,       0,"   2,602"
Belchertown,00240000,      49,     156,     147,     145,     155,     166,     156,     161,     173,     169,     158,     161,     183,     147,       5,"   2,131"
Bellingham,00250000,      88,     132,     119,     137,     141,     134,     159,     142,     165,     186,     150,     157,     131,     135,       4,"   1,980"
Belmont,00260000,      71,     289,     286,     335,     339,     345,     355,     308,     345,     354,     342,     334,     318,     335,       0,"   4,356"
Benjamin Banneker Charter Public (District),04200000,      19,      43,      48,      45,      43,      46,      47,      38,       0,       0,       0,       0,       0,       0,       0,     329
Benjamin Franklin Classical Charter Public (District),04470000,       0,      96,      98,      96,      96,      96,      96,      97,      94,      49,       0,       0,       0,       0,       0,     818
Berkley,00270000,      59,      73,      79,      91,      86,      76,     101,      97,      96,     112,       0,       0,       0,       0,       0,     870
Berkshire Arts and Technology Charter Public (District),04140000,       0,       0,       0,       0,       0,       0,       0,      68,      64,      64,      49,      42,      38,      41,       0,     366
Berkshire Hills,06180000,      24,      57,      58,      65,      68,      55,      67,      91,      91,     100,     133,     116,     112,     150,       1,"   1,188"
Berlin-Boylston,06200000,      57,      81,      78,      82,      69,      86,      67,      84,      76,      90,      65,      83,      61,      74,       0,"   1,053"
Beverly,00300000,     123,     326,     370,     372,     365,     354,     344,     343,     368,     372,     318,     299,     330,     343,       9,"   4,636"
Billerica,00310000,     200,     393,     393,     362,     373,     368,     348,     406,     373,     389,     297,     265,     269,     288,      10,"   4,734"
Blackstone Valley Regional Vocational Technical,08050000,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     320,     314,     301,     299,       0,"   1,234"
