District Name,District Code,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Non-Binary
Abby Kelley Foster Charter Public (District),4450000,54.1,3.4,19.4,17.3,0.6,0,5.1,45.7,54.3,0
Abington,10000,4.8,2.5,10.9,79.2,0.6,0.1,1.9,50.4,49.6,0
Academy Of the Pacific Rim Charter Public (District),4120000,62.8,0.7,28.3,6.7,0,0.2,1.3,51.5,48.5,0
Acton-Boxborough,6000000,3.1,33.7,6.2,51.7,0.1,0.1,5.1,51.9,48,0.1
Acushnet,30000,0.9,0.9,4.4,89.6,0.2,0,4.1,53.2,46.8,0
Advanced Math and Science Academy Charter (District),4300000,1.9,17.3,7,67.8,0,0,6,52.4,47.5,0.1
Agawam,50000,2.2,3.3,10.3,81,0,0,3.2,51.5,48.5,0
Alma del Mar Charter School (District),4090000,13.7,0.1,60.5,20.7,0.8,0,4.3,45.4,54.6,0
Amesbury,70000,2.2,1.2,9.9,82.3,0.2,0.1,4.2,53,47,0.1
Amherst,80000,10,11.9,22.1,48.7,0.5,0.2,6.7,51.3,48.4,0.3
Amherst-Pelham,6050000,8.1,9.2,18.2,55,0,0,9.4,50.9,48.9,0.2
Andover,90000,2.7,19.2,7.7,66.6,0.1,0.1,3.6,50.2,49.7,0.1
Argosy Collegiate Charter School (District),35090000,13.5,2.3,25.4,52.9,0.5,0,5.4,54.1,45.9,0
Arlington,100000,3.4,13.1,6.2,69.9,0.1,0.1,7.3,50.3,49.5,0.1
Ashburnham-Westminster,6100000,1.2,1,5.1,89.7,0.1,0,3,50.6,49.4,0
Ashland,140000,2.9,16.3,13.6,63.4,0.4,0,3.4,51.7,48.3,0
Assabet Valley Regional Vocational Technical,8010000,1.7,0.5,21.9,73.5,0.2,0,2.3,58.5,40.6,1
Athol-Royalston,6150000,1.8,1,10.4,82.9,0.1,0,3.9,54.2,45.8,0
Atlantis Charter (District),4910000,5.4,2.2,14.8,73.4,0.1,0.1,4.1,48.1,51.9,0
Attleboro,160000,6.8,4.6,15.6,66.4,0.2,0.1,6.4,52.7,47.3,0
Auburn,170000,2.5,4.6,9.5,80.1,0.1,0,3.2,49.8,50.2,0
Avon,180000,29.4,4.5,12.6,46.3,0.6,0,6.6,52.1,47.9,0
Ayer Shirley School District,6160000,3.8,2.9,11.2,75.5,0.7,0.3,5.6,52.3,47.7,0
Barnstable,200000,8.3,2.1,20.1,62.2,0.4,0.1,6.9,51.8,48.1,0.1
Baystate Academy Charter Public School (District),35020000,27.5,0.9,59.3,10.7,0,0.4,1.3,53.3,46.7,0
Bedford,230000,6.4,19.6,7.5,60.7,0,0,5.7,51.9,48.1,0
Belchertown,240000,1.7,1.2,6,87,0.3,0.2,3.6,50.6,49.2,0.1
Bellingham,250000,2.1,3.1,7.1,84.5,0.1,0.4,2.8,49.6,50.3,0.1
Belmont,260000,3.2,21.4,3.8,63.1,0.1,0.1,8.3,50,50,0
Benjamin Banneker Charter Public (District),4200000,77.9,1.7,11.9,2.6,0.3,0.6,4.9,48.8,50.9,0.3
Benjamin Franklin Classical Charter Public (District),4470000,3,19.2,4.8,68.2,0.6,0.1,4.1,49.7,50.3,0
Berkley,270000,0.8,0.5,2.4,91.8,0.1,0.1,4.3,50.7,49.3,0
Berkshire Arts and Technology Charter Public (District),4140000,12.6,2.4,12.4,66.7,0.3,0,5.6,53.2,46.2,0.5
Berkshire Hills,6180000,1.5,3,11.1,78.2,0.2,0.3,5.8,50.2,49.8,0
Berlin-Boylston,6200000,1.4,4.5,7.1,83,0.3,0.1,3.6,49.6,50.2,0.2
Beverly,300000,3.6,2.5,15,74.8,0.1,0,3.9,51.9,48.1,0
Billerica,310000,5.4,9.2,7.9,74.1,0.1,0.1,3.3,50.2,49.8,0
Blackstone Valley Regional Vocational Technical,8050000,1.2,1.9,7.7,86.7,0,0.1,2.4,49.7,50.1,0.2
Blackstone-Millville,6220000,1.7,0.8,8.5,84.7,0,0,4.3,51.9,47.9,0.1
Blue Hills Regional Vocational Technical,8060000,22.1,2.1,15.3,54.4,0.7,0,5.4,53.9,46.1,0
