District Name,District Code,Tests Taken,Reading / Writing,Writing,Math
Abby Kelley Foster Charter Public (District),04450000,      12,593,,528
Abington,00010000,      64,565,,534
Acton-Boxborough,06000000,     487,651,,682
Advanced Math and Science Academy Charter (District),04300000,     164,629,,657
Agawam,00050000,      64,578,,564
Amesbury,00070000,      45,596,,570
Amherst-Pelham,06050000,      41,656,,669
Andover,00090000,     456,607,,611
Arlington,00100000,     372,623,,617
Ashburnham-Westminster,06100000,      60,599,,600
Ashland,00140000,     174,602,,635
Assabet Valley Regional Vocational Technical,08010000,      59,519,,502
Athol-Royalston,06150000,       2,,,
Atlantis Charter (District),04910000,      75,479,,449
Attleboro,00160000,     262,560,,554
Auburn,00170000,      44,558,,566
Avon,00180000,       6,,,
Ayer Shirley School District,06160000,      24,578,,535
Barnstable,00200000,      82,555,,553
Baystate Academy Charter Public School (District),35020000,      22,474,,467
Bedford,00230000,     249,611,,626
Belchertown,00240000,      64,580,,584
Bellingham,00250000,      63,565,,555
Belmont,00260000,     396,650,,673
Berkshire Arts and Technology Charter Public (District),04140000,      63,541,,492
Berkshire Hills,06180000,     107,583,,546
Berlin-Boylston,06200000,      63,599,,594
Beverly,00300000,     185,548,,522
Billerica,00310000,     258,538,,535
Blackstone Valley Regional Vocational Technical,08050000,     183,584,,570
Blackstone-Millville,06220000,      42,527,,524
Blue Hills Regional Vocational Technical,08060000,      19,544,,535
Boston,00350000,"   2,299",536,,549
Boston Collegiate Charter (District),04490000,      64,498,,511
Boston Day and Evening Academy Charter (District),04240000,       5,,,
Boston Green Academy Horace Mann Charter School (District),04110000,      32,430,,445
Boston Preparatory Charter Public (District),04160000,      79,448,,474
Bourne,00360000,      91,527,,506
Braintree,00400000,     526,557,,570
Bridgewater-Raynham,06250000,     153,563,,568
Bristol County Agricultural,09100000,      23,552,,505
Bristol-Plymouth Regional Vocational Technical,08100000,      57,544,,536
Brockton,00440000,      46,523,,496
Brooke Charter School (District),04280000,      47,499,,545
Brookline,00460000,     533,639,,652
Burlington,00480000,     293,540,,534
Cambridge,00490000,     302,615,,601
Canton,00500000,     352,568,,567
Cape Cod Regional Vocational Technical,08150000,       3,,,
Carver,00520000,      96,531,,521
Central Berkshire,06350000,      56,523,,533
Chelmsford,00560000,     326,574,,579
Chelsea,00570000,      22,523,,520
Chicopee,00610000,     110,559,,546
City on a Hill Charter Public School Circuit Street (District),04370000,       8,,,
Clinton,00640000,      72,525,,498
Codman Academy Charter Public (District),04380000,      29,418,,417
Cohasset,00650000,     116,616,,585
Community Charter School of Cambridge (District),04360000,       4,,,
Concord-Carlisle,06400000,     375,639,,647
Danvers,00710000,     145,549,,530
Dartmouth,00720000,     113,572,,559
Dedham,00730000,      92,578,,586
Dennis-Yarmouth,06450000,      56,558,,531
Dighton-Rehoboth,06500000,     219,549,,537
Douglas,00770000,      46,560,,535
Dover-Sherborn,06550000,     206,631,,642
Dracut,00790000,     157,519,,512
Dudley-Charlton Reg,06580000,     218,568,,569
Duxbury,00820000,     344,592,,572
East Bridgewater,00830000,      75,556,,521
East Longmeadow,00870000,     115,569,,572
Easthampton,00860000,      33,534,,504
Easton,00880000,     340,577,,567
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,      87,429,,425
Essex North Shore Agricultural and Technical School District,08170000,     203,544,,519
Everett,00930000,      52,510,,495
Excel Academy Charter (District),04100000,     142,465,,474
Fairhaven,00940000,      53,575,,591
Fall River,00950000,     154,518,,510
Falmouth,00960000,     110,583,,570
Fitchburg,00970000,     105,520,,502
Foxborough,00990000,     198,554,,568
Foxborough Regional Charter (District),04460000,      50,560,,534
Framingham,01000000,     197,592,,612
