District Name,District Code,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,Free Lunch #,Free Lunch %,Reduced Lunch #,Reduced Lunch %,High Needs #,High Needs #,Economically Disadvantaged #,Economically Disadvantaged %
Abby Kelley Foster Charter Public (District),4450000,952,66.8,195,13.7,173,12.1,,,,,,,887,62.2,684,48
Abington,10000,298,14.1,162,7.7,340,15.8,,,,,,,889,41.4,628,29.7
Academy Of the Pacific Rim Charter Public (District),4120000,173,32,34,6.3,138,25.6,,,,,,,370,68.5,260,48.1
Acton-Boxborough,6000000,1117,21.5,273,5.2,794,15,,,,,,,1469,27.8,422,8.1
Acushnet,30000,10,1.1,6,0.7,126,13.7,,,,,,,351,38,258,28.4
Advanced Math and Science Academy Charter (District),4300000,238,24.6,13,1.3,56,5.8,,,,,,,234,24.2,100,10.4
Agawam,50000,438,12.5,180,5.1,607,17.1,,,,,,,1650,46.6,1227,35
Alma del Mar Charter School (District),4090000,349,43.8,248,31.1,138,17.3,,,,,,,650,81.6,523,65.6
Amesbury,70000,74,4,38,2.1,419,22.2,,,,,,,793,42,524,28.3
Amherst,80000,300,29.2,136,13.2,228,22.1,,,,,,,519,50.3,348,33.8
Amherst-Pelham,6050000,255,19.9,95,7.4,288,22.2,,,,,,,566,43.7,381,29.7
Andover,90000,965,17.3,171,3.1,1150,20.4,,,,,,,1794,31.8,549,9.8
Argosy Collegiate Charter School (District),35090000,151,26.4,110,19.3,115,20.1,,,,,,,452,79.2,381,66.7
Arlington,100000,685,11.9,235,4.1,915,15.7,,,,,,,1541,26.4,524,9.1
Ashburnham-Westminster,6100000,88,4,33,1.5,427,19.4,,,,,,,750,34,437,19.9
Ashland,140000,753,27.6,163,6,476,17.3,,,,,,,961,34.9,486,17.8
Assabet Valley Regional Vocational Technical,8010000,240,20.9,57,5,287,25,,,,,,,629,54.7,380,33.1
Athol-Royalston,6150000,77,5.4,41,2.9,348,24,,,,,,,936,64.6,790,55.4
Atlantis Charter (District),4910000,359,27.7,183,14.1,174,13.4,,,,,,,800,61.7,654,50.5
Attleboro,160000,816,14.2,342,5.9,1012,17.5,,,,,,,2667,46,1899,33
Auburn,170000,229,9.1,56,2.2,274,10.8,,,,,,,817,32.3,559,22.2
Avon,180000,62,9.1,33,4.8,137,19.9,,,,,,,341,49.6,248,36.3
Ayer Shirley School District,6160000,156,9.7,58,3.6,352,21.5,,,,,,,710,43.3,444,27.7
Barnstable,200000,1200,25.5,601,12.8,839,17.6,,,,,,,2737,57.5,1976,41.9
Baystate Academy Charter Public School (District),35020000,116,24.7,41,8.7,97,20.7,,,,,,,377,80.4,343,73.1
Bedford,230000,481,18.4,117,4.5,456,17.2,,,,,,,822,30.9,276,10.6
Belchertown,240000,56,2.6,31,1.4,419,19.4,,,,,,,761,35.2,467,21.7
Bellingham,250000,110,5.5,48,2.4,428,21.3,,,,,,,810,40.2,492,24.8
Belmont,260000,1189,26.9,347,7.9,540,12,,,,,,,1324,29.3,368,8.3
Benjamin Banneker Charter Public (District),4200000,98,28.5,15,4.4,45,13.1,,,,,,,218,63.4,193,56.1
Benjamin Franklin Classical Charter Public (District),4470000,166,21.4,55,7.1,93,12,,,,,,,242,31.2,113,14.6
Berkley,270000,9,1,9,1,130,15,,,,,,,274,31.6,184,21.3
Berkshire Arts and Technology Charter Public (District),4140000,5,1.3,5,1.3,75,20.2,,,,,,,223,59.9,184,49.5
Berkshire Hills,6180000,113,9.7,51,4.4,215,18.2,,,,,,,522,44.2,393,33.8
Berlin-Boylston,6200000,131,12.5,22,2.1,171,16.2,,,,,,,298,28.2,147,14.1
Beverly,300000,453,9.8,193,4.2,912,19.4,,,,,,,1937,41.2,1309,28.3
Billerica,310000,507,11.1,77,1.7,934,20.2,,,,,,,1696,36.7,963,21.1
Blackstone Valley Regional Vocational Technical,8050000,8,0.6,5,0.4,130,10.6,,,,,,,238,19.3,128,10.4
Blackstone-Millville,6220000,103,6.6,27,1.7,284,17.9,,,,,,,646,40.8,428,27.3
Blue Hills Regional Vocational Technical,8060000,66,7.4,13,1.5,239,26.9,,,,,,,473,53.1,283,31.8
Boston,350000,23120,48.1,14025,29.2,10441,21.5,,,,,,,37913,78.2,30300,63
Boston Collegiate Charter (District),4490000,92,12.7,32,4.4,115,15.9,,,,,,,380,52.6,280,38.7
Boston Day and Evening Academy Charter (District),4240000,131,36.8,57,16,136,38.1,,,,,,,300,84,254,71.3
Boston Green Academy Horace Mann Charter School (District),4110000,185,36.3,86,16.9,169,33.2,,,,,,,424,83.3,367,72.1
Boston Preparatory Charter Public (District),4160000,227,33.8,129,19.2,136,20.3,,,,,,,531,79.1,405,60.4
Boston Renaissance Charter Public (District),4810000,251,26.6,109,11.6,100,10.6,,,,,,,668,70.8,587,62.2
Bourne,360000,32,1.9,17,1,305,18.3,,,,,,,694,41.7,506,30.7
Boxford,380000,11,1.6,9,1.3,129,18.9,,,,,,,172,25.1,50,7.4
Braintree,400000,1079,19.8,332,6.1,1102,19.9,,,,,,,2321,42,1194,21.9
Brewster,410000,22,5.2,18,4.3,81,19.2,,,,,,,173,41,131,31.2
Bridge Boston Charter School (District),4170000,152,45,93,27.5,74,21.9,,,,,,,282,83.4,232,68.6
Bridgewater-Raynham,6250000,307,5.8,149,2.8,864,16.3,,,,,,,1745,32.9,1079,20.5
Brimfield,430000,3,1.1,3,1.1,43,15.9,,,,,,,98,36.3,64,23.8
Bristol County Agricultural,9100000,0,0,0,0,66,14.7,,,,,,,164,36.6,114,25.4
Bristol-Plymouth Regional Vocational Technical,8100000,27,2,4,0.3,226,17.1,,,,,,,544,41.2,385,29.2
Brockton,440000,6869,44.7,3976,25.8,2678,17.3,,,,,,,12056,77.9,10081,65.5
Brooke Charter School (District),4280000,707,34.4,143,7,229,11.2,,,,,,,1357,66.1,1116,54.4
Brookfield,450000,2,0.8,1,0.4,32,12,,,,,,,96,36.1,77,28.9
Brookline,460000,2006,29.1,649,9.4,1183,17,,,,,,,2462,35.4,747,10.8
Burlington,480000,692,20.4,171,5,493,14.2,,,,,,,1072,30.9,515,15.2
Cambridge,490000,1845,27.6,392,5.9,1574,23.1,,,,,,,3289,48.2,2101,31.5
Canton,500000,230,7.3,71,2.2,413,12.9,,,,,,,947,29.5,537,17
Cape Cod Lighthouse Charter (District),4320000,15,6,1,0.4,44,17.6,,,,,,,85,34,45,18
Cape Cod Regional Vocational Technical,8150000,31,5,14,2.2,166,26.5,,,,,,,393,62.8,292,46.6
Carlisle,510000,28,4.8,11,1.9,101,17.2,,,,,,,145,24.7,28,4.8
Carver,520000,22,1.5,21,1.4,288,19.3,,,,,,,575,38.5,376,25.5
Central Berkshire,6350000,14,0.9,8,0.5,232,15.2,,,,,,,667,43.8,560,37
