District Name,District Code,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,% ELA,% Math,% Science and Technology,% Computer Science,% History and Social Sciences,% Arts,% All Other Subjects,Ch 74 Secondary Cooperative Program
Abby Kelley Foster Charter Public (District),4450000,182,131,72,32.4,37.4,23.1,18.7,31.3,22,30.8,0
Abington,10000,307,238,77.5,14,76.9,4.9,0,6.2,0.3,0,0
Academy Of the Pacific Rim Charter Public (District),4120000,121,93,76.9,0,47.9,29.8,7.4,44.6,2.5,23.1,0
Acton-Boxborough,6000000,878,610,69.5,13.8,63.2,35.2,0,32.5,0,9.2,0
Advanced Math and Science Academy Charter (District),4300000,288,272,94.4,24.3,92.7,37.5,9.7,50.7,4.9,13.9,0
Agawam,50000,479,292,61,29.2,47.6,21.9,4.2,13.4,0,0,0
Amesbury,70000,293,196,66.9,8.2,64.2,15.7,0,12.3,3.4,0.7,0
Amherst-Pelham,6050000,447,291,65.1,4.3,56.8,26.6,2,9.6,1.8,16.1,0
Andover,90000,853,694,81.4,33.8,76.7,35.5,6.4,15.6,0.1,9,0
Argosy Collegiate Charter School (District),35090000,95,54,56.8,18.9,52.6,6.3,4.2,16.8,6.3,5.3,0
Arlington,100000,698,546,78.2,0,72.8,29.7,4.6,48.1,1.7,11,0
Ashburnham-Westminster,6100000,304,174,57.2,14.1,53.3,8.9,0.3,3,0,5.3,0
Ashland,140000,439,268,61,9.3,56.9,20.3,8.9,13.4,0.5,0,0
Assabet Valley Regional Vocational Technical,8010000,544,461,84.7,3.3,55.1,11.4,0,2,0,57,14.7
Athol-Royalston,6150000,160,120,75,30.6,62.5,9.4,0,16.3,0,0,0
Atlantis Charter (District),4910000,164,89,54.3,14.6,43.3,18.9,0,29.3,0,0,0
Attleboro,160000,921,507,55,15.4,42.9,11.3,2.4,30.9,0,1.1,0
Auburn,170000,344,200,58.1,11.9,50,20.6,0.3,22.7,0.9,5.5,0
Avon,180000,91,53,58.2,18.7,56,15.4,0,0,0,0,0
Ayer Shirley School District,6160000,165,100,60.6,15.8,54.5,14.5,5.5,14.5,0.6,1.2,0
Barnstable,200000,659,365,55.4,14.9,42,12.4,1.5,24.6,2.4,5.5,0
Baystate Academy Charter Public School (District),35020000,102,102,100,14.7,50,100,0,0,0,0,0
Bedford,230000,413,251,60.8,14.8,59.6,18.2,1.5,0,0,4.6,0
Belchertown,240000,329,195,59.3,10.3,40.4,18.8,5.2,21.9,0,0.6,0
Bellingham,250000,294,213,72.4,27.6,70.4,19.7,0,7.8,0,0,0
Belmont,260000,652,558,85.6,10.4,78.4,68.6,10.7,53.8,6.1,12.7,0
Berkshire Arts and Technology Charter Public (District),4140000,78,67,85.9,52.6,83.3,38.5,5.1,16.7,16.7,12.8,0
Berkshire Hills,6180000,269,160,59.5,33.8,42.4,24.2,3.3,4.1,8.2,2.2,0
Berlin-Boylston,6200000,157,114,72.6,29.9,64.3,15.9,5.7,15.9,0,2.5,0
Beverly,300000,643,365,56.8,13.1,48.5,11.2,0,7.9,2,10.4,3.3
Billerica,310000,544,417,76.7,11,74.1,17.1,1.7,28.3,0.4,5.3,0
Blackstone Valley Regional Vocational Technical,8050000,601,388,64.6,18.5,50.7,25.6,1,4.7,0,0.8,12.6
Blackstone-Millville,6220000,206,127,61.7,13.6,42.7,42.7,2.9,1.9,0.5,0,0
Blue Hills Regional Vocational Technical,8060000,405,246,60.7,8.6,50.6,22.2,1,5.4,0,0,15.3
Boston,350000,"7,165","4,416",61.6,19.1,52.2,18.1,6.7,20.8,2.9,9.7,0.3
Boston Collegiate Charter (District),4490000,153,134,87.6,33.3,71.9,31.4,0,37.9,0,0.7,0
Boston Day and Evening Academy Charter (District),4240000,276,23,8.3,0.7,4,3.6,0,0,0,0,0
Boston Green Academy Horace Mann Charter School (District),4110000,157,90,57.3,28.7,40.1,12.7,0,13.4,0,0,0
Boston Preparatory Charter Public (District),4160000,145,120,82.8,44.1,73.8,59.3,18.6,24.1,0,0,0
Bourne,360000,226,162,71.7,21.2,62.8,18.1,0.9,28.8,2.2,7.1,0
Braintree,400000,859,574,66.8,10.7,65.3,17.9,7.6,27.2,0.8,7.8,0
Bridgewater-Raynham,6250000,735,488,66.4,24.8,56.5,25.4,0,14.7,1.5,0,0
Bristol County Agricultural,9100000,205,82,40,0,27.3,25.9,0,0,0,0,0
Bristol-Plymouth Regional Vocational Technical,8100000,620,402,64.8,5.2,17.7,2.9,0,0,0,46.6,15.5
Brockton,440000,"2,058",820,39.8,10.5,36.4,7.6,1.7,10,2.1,7.3,0
Brooke Charter School (District),4280000,111,105,94.6,60.4,37.8,64.9,66.7,25.2,0,10.8,0
Brookline,460000,"1,017",922,90.7,0,86.1,57,0,18.7,2.7,4.2,0
Burlington,480000,475,298,62.7,14.7,58.1,17.9,13.1,20.2,3.4,1.9,0
