District Name,District Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Abby Kelley Foster Charter Public (District),4450000,7.9,2.5,2.5,7.4,2.6,1.7,5,3.5,7.6,3,2,1.1,4
Abington,10000,8.1,3.2,3.5,5.5,4.3,5.9,6,3.6,23,3.7,3.8,1.3,6.3
Academy Of the Pacific Rim Charter Public (District),4120000,,,,,,7.9,17.1,1.4,6.8,2.9,2.5,4.4,6.3
Acton-Boxborough,6000000,8.7,2,5,3.1,4.3,4.3,6.6,2.7,11.4,3.2,3.9,1.4,4.7
Acushnet,30000,7,11.3,14,9.4,5.4,8.2,10.9,3.6,,,,,8.7
Advanced Math and Science Academy Charter (District),4300000,,,,,,,0,2.4,8.2,2.5,3.9,0.7,3.1
Agawam,50000,7.1,4.3,6.7,6.8,5.8,5.8,5.4,2.6,5.6,2.1,3.2,0.8,4.7
Alma del Mar Charter School (District),4090000,0,6.9,1.9,0,6,8.2,6.5,2,,,,,3.8
Amesbury,70000,16.3,11,18.9,5.6,5.7,9.8,6.2,9.6,26.5,4.8,2.2,1.3,10
Amherst,80000,11.6,10.3,10.9,8.1,8.2,7.6,,,,,,,9.4
Amherst-Pelham,6050000,,,,,,,,8,9.5,3.4,5.7,4.3,6.2
Andover,90000,6.1,7.2,4.2,5,2.6,5.2,6.2,4.7,18.5,3.3,3.8,2,5.8
Argosy Collegiate Charter School (District),35090000,,,,,,,7,2.8,48.5,3.5,0,0,12.2
Arlington,100000,10.1,12.8,9.4,7.8,7.6,6.7,7.5,5.1,21.5,5.4,3,2.7,8.6
Ashburnham-Westminster,6100000,11.9,9.6,12.2,7.6,5.6,8.1,6.7,6.8,25.3,9.1,7.1,2.3,9.5
Ashland,140000,11.1,12.5,5.4,7.3,2.9,4.7,5.2,4,13.8,3.4,1.8,1.9,6.2
Assabet Valley Regional Vocational Technical,8010000,,,,,,,,,,2.4,2.4,1.5,2.1
Athol-Royalston,6150000,14.3,17.3,12.9,11.5,8.9,6,13,5.4,21.7,9.1,2.5,1.2,11
Atlantis Charter (District),4910000,4.6,0.9,0.9,2.7,0.9,0.9,1.8,0.9,57.3,5.7,2.6,6.6,7.3
Attleboro,160000,8.4,7.4,5.4,4.5,3.9,4.8,4.3,2.7,8.1,5,3.2,0.7,4.8
Auburn,170000,5.9,4.3,6.4,7.6,6.4,5.2,5.2,3.6,26,2,3.9,4,6.8
Avon,180000,6.5,5.8,3.6,13.8,4.7,5.5,6.5,3.2,43.5,6.1,4.4,4.9,9.5
Ayer Shirley School District,6160000,7.4,11.4,6.1,4.9,3.7,7.7,4.3,6.5,25.6,5,5,4.7,7.8
