District Name,District Code,<26 yrs (# ),26-32 yrs (#),33-40 yrs (#),41-48 yrs (#),49-56 yrs (#),57-64 yrs (#),Over 64 yrs (#),FTE Count
Abby Kelley Foster Charter Public (District),4450000,11,43,44,46,19.8,13,5.4,182.2
Abington,10000,12,41,54.5,54.8,62.8,36,8,269.1
Academy Of the Pacific Rim Charter Public (District),4120000,17,38.6,19.5,4,4.2,6.2,1,90.4
Acton-Boxborough,6000000,38,91.7,133,201.7,182.8,117.9,23.1,788.1
Acushnet,30000,2,13,22,34.3,30.3,15.8,3,120.3
Advanced Math and Science Academy Charter (District),4300000,5,21,27,17.1,29,19.2,5,123.3
Agawam,50000,33.6,80,138.6,147.6,127.6,92.7,21,641
Alma del Mar Charter School (District),4090000,28.3,57,20,10,6,3,0,124.3
Amesbury,70000,3,35.3,37.2,42.6,71.9,49.8,5.5,245.3
Amherst,80000,9,34.5,60.1,50.6,56,50.1,6.8,267.3
Amherst-Pelham,6050000,9,32.3,50,55.3,51.1,52,11.5,261.3
Andover,90000,31.4,106.2,148.2,188.8,246.8,162.4,40.5,924.2
Argosy Collegiate Charter School (District),35090000,18.5,18,14.7,8.6,4.7,0.9,0.4,66
Arlington,100000,59.8,168.9,178.6,167,152.9,80.1,37.6,844.9
Ashburnham-Westminster,6100000,13,47.4,45.6,75,68.3,45.4,10,304.6
Ashland,140000,26.3,60.6,69.5,69.8,91.9,50.7,15,383.9
Assabet Valley Regional Vocational Technical,8010000,1,12.5,39,41,30,25.5,2.5,151.5
Athol-Royalston,6150000,13,29.5,40.4,43.5,47,39.2,4,216.6
Atlantis Charter (District),4910000,19,60,35.3,32,21.5,10,8,185.8
Attleboro,160000,37.5,80.3,128.7,161.8,136.1,127,28.2,699.6
Auburn,170000,21.9,47.8,68.6,73.6,69.8,46.7,7,335.4
Avon,180000,6.5,16,26,22.3,17.7,11.1,2,101.6
Ayer Shirley School District,6160000,11,31.1,45.7,48.1,54.8,47.5,16.5,254.7
Barnstable,200000,34.1,100.3,120.5,148.2,200.5,130.6,41.4,775.6
Baystate Academy Charter Public School (District),35020000,10.2,16.9,11,12,7,3,1,61.1
Bedford,230000,30.7,69,98.1,92.3,91.1,48.6,8.3,438
Belchertown,240000,4,32.7,57.7,77.1,64.3,60.6,13.3,309.7
Bellingham,250000,19.5,38.6,71.2,68.6,73.3,51.3,17.9,340.3
Belmont,260000,16.9,82.1,129.2,111.9,86.2,48.8,22.5,497.6
Benjamin Banneker Charter Public (District),4200000,4,15,11,12,1.2,7.8,4.1,55.1
Benjamin Franklin Classical Charter Public (District),4470000,9,20.4,20.7,27.8,20.4,7.9,1,107.1
Berkley,270000,6,10,22,29,26.8,17,3,113.8
Berkshire Arts and Technology Charter Public (District),4140000,0,14,18.9,15.7,5.8,4,3.5,61.7
Berkshire Hills,6180000,1,14.8,27.6,35.1,73.6,42,22.3,216.4
Berlin-Boylston,6200000,4,16.5,24.5,32.6,39.7,31.4,5.4,154.1
Beverly,300000,49.5,93.4,120.4,129.7,112.7,101.9,28.3,635.8
Billerica,310000,25.7,74.4,167.4,170.4,152,100.1,15.7,705.8
Blackstone Valley Regional Vocational Technical,8050000,5,29,27,33.1,41.3,28.2,7,170.6
Blackstone-Millville,6220000,11.9,20.8,32.7,41.5,62,33.6,2.9,205.4
Blue Hills Regional Vocational Technical,8060000,4,13,22.5,20.9,33.7,19.5,3.5,117.1
Boston,350000,326.9,"1,754.80","1,999.70","1,733.40","1,432.00","1,035.90",280.5,"8,563.20"
Boston Collegiate Charter (District),4490000,21,45,27.7,14.8,5.3,3,0.6,117.3
Boston Day and Evening Academy Charter (District),4240000,1,17,11,12.1,7.5,5,0,53.6
Boston Green Academy Horace Mann Charter School (District),4110000,2.8,23.3,20.8,15.1,7.1,4,0,73.2
Boston Preparatory Charter Public (District),4160000,25.2,42,21.6,5.7,4.6,0.5,0,99.6
Boston Renaissance Charter Public (District),4810000,11,46,34,28,26.5,12,1.5,159
Bourne,360000,12.9,27,34,55.5,56.9,51.5,14.6,252.5
Boxford,380000,5,10.3,17.8,25.7,31.7,28.1,5.1,123.6
Braintree,400000,29,121.8,181.1,137.1,159.3,98,26.3,752.7
