District Name,District Code,General Education (#),Special Education (#),Career Vocational Technical (#),English Language Learner (#),FTE Count
Abby Kelley Foster Charter Public (District),4450000,99.4,12.5,0.2,3,115.1
Abington,10000,111.4,19,0,2,132.4
Academy Of the Pacific Rim Charter Public (District),4120000,44.1,9.2,0,1.7,55
Acton-Boxborough,6000000,346,48.6,0,10.6,405.3
Acushnet,30000,60.2,8,0,0,68.2
Advanced Math and Science Academy Charter (District),4300000,75.4,3.2,0,0.8,79.4
Agawam,50000,279.2,18.3,1.3,7,305.9
Alma del Mar Charter School (District),4090000,63,0,0,0,63
Amesbury,70000,153.2,4.1,0,2,159.3
Amherst,80000,92.8,16,0,7,115.8
Amherst-Pelham,6050000,98,16.5,0.7,0.3,115.5
Andover,90000,363.9,104.6,0,15,483.5
Argosy Collegiate Charter School (District),35090000,40.2,0,0,0,40.2
Arlington,100000,428.4,28,0,9.4,465.8
Ashburnham-Westminster,6100000,136.3,23.3,0,1.5,161.1
Ashland,140000,178.4,25.1,0,3.8,207.2
Assabet Valley Regional Vocational Technical,8010000,46.2,12.8,43,1,103
Athol-Royalston,6150000,92.6,22.3,0,0.5,115.5
Atlantis Charter (District),4910000,89.8,5,0,4,98.8
Attleboro,160000,305.7,55.8,18.1,9,388.6
Auburn,170000,176.8,2.2,0,0,179
Avon,180000,52.6,10.6,0,1,64.2
Ayer Shirley School District,6160000,109.9,25.8,0,3.5,139.2
Barnstable,200000,331.2,54,0,23.3,408.5
Baystate Academy Charter Public School (District),35020000,54.6,0,0,0,54.6
Bedford,230000,192.1,38.1,0,6.4,236.6
Belchertown,240000,138.9,26.6,0,2,167.4
Bellingham,250000,144.2,20,0,0,164.2
Belmont,260000,237.1,30.7,0,11.6,279.4
Benjamin Banneker Charter Public (District),4200000,20.5,0,0,1,21.5
Benjamin Franklin Classical Charter Public (District),4470000,48.5,8.5,0,2,59
Berkley,270000,51.6,12.1,0,1,64.7
Berkshire Arts and Technology Charter Public (District),4140000,31.1,6,0,0.5,37.6
Berkshire Hills,6180000,100.4,4.1,6,0.5,111
Berlin-Boylston,6200000,83.8,5.9,0,1,90.7
Beverly,300000,272.6,57,0,9.2,338.7
Billerica,310000,327.5,38.9,0,0,366.4
Blackstone Valley Regional Vocational Technical,8050000,56,0,46.2,0.1,102.3
Blackstone-Millville,6220000,98.8,9.1,0,0.4,108.3
Blue Hills Regional Vocational Technical,8060000,32.4,6,40,0.2,78.6
Boston,350000,3869.1,485.5,0,240.8,4595.5
Boston Collegiate Charter (District),4490000,67.3,2,0,0,69.3
Boston Day and Evening Academy Charter (District),4240000,26,0,0,0,26
Boston Green Academy Horace Mann Charter School (District),4110000,57.5,0,0,0,57.5
Boston Preparatory Charter Public (District),4160000,43.3,11.7,0,2.8,57.8
Boston Renaissance Charter Public (District),4810000,64.5,16.5,0,3,84
Bourne,360000,130.1,9.6,0,0,139.8
Boxford,380000,50.9,13.9,0,0.3,65.1
Braintree,400000,336.2,85.8,0,12.2,434.2
Brewster,410000,38.2,8.8,0,0,47
Bridge Boston Charter School (District),4170000,26,7.4,0,3,36.4
Bridgewater-Raynham,6250000,291.9,38.9,0,1,331.8
Brimfield,430000,18.9,6,0,0,24.9
Bristol County Agricultural,9100000,17.8,1.3,16.1,0,35.2
Bristol-Plymouth Regional Vocational Technical,8100000,43.9,9,46.3,0,99.2
Brockton,440000,819.7,141.1,3.4,22,986.2
Brooke Charter School (District),4280000,169.4,1,0,0,170.4
Brookfield,450000,18.6,3.5,0,0,22.1
Brookline,460000,573.9,70.7,8.3,21.7,674.6
Burlington,480000,263.4,44.3,0,7.7,315.4
Cambridge,490000,614,108,21.4,26,769.3
Canton,500000,205.3,35.7,0.7,4.5,246.2
Cape Cod Lighthouse Charter (District),4320000,21.8,1.9,0,0,23.7
Cape Cod Regional Vocational Technical,8150000,25.1,5.4,27.7,0.5,58.6
Carlisle,510000,52.4,5,0,0,57.4
Carver,520000,121.8,6.5,0,0.5,128.8
Central Berkshire,6350000,99.1,13.2,2,0.7,115
Chelmsford,560000,306.8,61.1,2,7,376.9
Chelsea,570000,328.4,54.5,0,34.2,417.2
Chesterfield-Goshen,6320000,10,3,0,0,13
Chicopee,610000,469.8,80.4,21.3,15.1,586.6
Christa McAuliffe Charter Public (District),4180000,29.2,9.1,0,0,38.3
City on a Hill Charter Public School Circuit Street (District),4370000,19.5,3.5,0,0,23
Clarksburg,630000,13.4,1,0,0,14.4
Clinton,640000,121.9,19.4,0.2,8,149.6
Codman Academy Charter Public (District),4380000,36.6,6.7,0,2.2,45.5
Cohasset,650000,106,13.3,0,0,119.2
Collegiate Charter School of Lowell (District),35030000,47.1,0,0,0,47.1
Community Charter School of Cambridge (District),4360000,29.6,2.8,0,0.6,32.9
Community Day Charter Public School - Gateway (District),4260000,43,0,0,0,43
Community Day Charter Public School - Prospect (District),4400000,43,0,0,0,43
Community Day Charter Public School - R. Kingman Webster (District),4310000,40.5,0,0,0,40.5
Concord,670000,135.2,31.6,0,4,170.8
Concord-Carlisle,6400000,88.4,11,0,1,100.4
Conservatory Lab Charter (District),4390000,29,0,0,0,29
Conway,680000,11.7,2,0,0,13.7
Danvers,710000,234,18.4,0,0,252.4
Dartmouth,720000,225.9,43.6,0,0,269.5
Dedham,730000,201.9,26.7,0,1,229.6
Deerfield,740000,30.1,6.3,0,0.6,37
Dennis-Yarmouth,6450000,235.9,24.4,0,10.8,271.1
Dighton-Rehoboth,6500000,171.8,31.3,9.7,0,212.8
Douglas,770000,82.5,11.7,2.1,1,97.3
Dover,780000,34.4,4,0,0.7,39.1
Dover-Sherborn,6550000,93.7,11,0,0.4,105.1
Dracut,790000,197.7,33,0,2,232.7
Dudley Street Neighborhood Charter School (District),4070000,6.8,2,0,1.5,10.3
Dudley-Charlton Reg,6580000,242.5,24.5,0,3.8,270.8
Duxbury,820000,204.9,14.4,0,1,220.3
East Bridgewater,830000,147.7,0.3,3.2,1.5,152.7
East Longmeadow,870000,169,31.8,2.7,2.5,206
Eastham,850000,20.6,2,0,0,22.6
Easthampton,860000,109.7,5,0,1,115.7
Easton,880000,199.7,44.5,0.2,3,247.3
Edgartown,890000,35.7,5.9,0,2,43.6
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,30.9,2.3,2.8,0.3,36.3
Erving,910000,13.2,4,0,0,17.2
Essex North Shore Agricultural and Technical School District,8170000,50.1,16.3,64.9,0,131.3
Everett,930000,495.4,33,19,14.3,561.7
Excel Academy Charter (District),4100000,115.2,0,0,0,115.2
Fairhaven,940000,119.9,7.9,0,2,129.9
Fall River,950000,619.7,93,21.1,35.8,769.6
Falmouth,960000,235.4,49.2,1.9,6.1,292.7
Farmington River Reg,6620000,12.8,0,0,0,12.8
Fitchburg,970000,297.8,59.5,0,16,373.2
Florida,980000,10.8,0,0,0,10.8
Four Rivers Charter Public (District),4130000,19.8,1.5,0,0,21.3
Foxborough,990000,186.2,12,0,2,200.2
Foxborough Regional Charter (District),4460000,108.4,17.5,0,7,132.9
Framingham,1000000,611.2,93.5,0,28.5,733.2
Francis W. Parker Charter Essential (District),4780000,42.1,3.8,0,0,46
Franklin,1010000,296,88.7,0,4,388.7
Franklin County Regional Vocational Technical,8180000,28,0,25.6,0,53.6
