District Name,District Code,Tests Takers,Tests Taken,One Test,Two Tests,Three Tests,Four Tests,Five or More Tests
Abington,10000,69,100,43,22,3,1,0
Academy Of the Pacific Rim Charter Public (District),4120000,74,109,46,21,7,0,0
Acton-Boxborough,6000000,451,"1,070",137,136,94,49,35
Advanced Math and Science Academy Charter (District),4300000,247,504,99,62,63,23,0
Agawam,50000,129,209,72,42,9,5,1
Amesbury,70000,84,126,43,40,1,0,0
Amherst-Pelham,6050000,116,178,64,43,8,1,0
Andover,90000,495,986,207,157,75,42,14
Arlington,100000,437,893,161,142,95,33,6
Ashburnham-Westminster,6100000,59,97,32,19,6,1,1
Ashland,140000,187,377,83,45,38,15,6
Assabet Valley Regional Vocational Technical,8010000,52,68,37,14,1,0,0
Athol-Royalston,6150000,60,97,31,21,8,0,0
Atlantis Charter (District),4910000,59,96,29,24,5,1,0
Attleboro,160000,377,596,195,145,37,0,0
Auburn,170000,180,285,105,52,17,5,1
Avon,180000,13,21,6,6,1,0,0
Ayer Shirley School District,6160000,52,110,19,16,13,2,2
Barnstable,200000,307,474,205,61,26,9,6
Baystate Academy Charter Public School (District),35020000,13,13,13,0,0,0,0
Bedford,230000,163,275,90,44,21,7,1
Belchertown,240000,40,62,25,9,5,1,0
Bellingham,250000,115,207,53,38,20,2,2
Belmont,260000,491,"1,037",209,130,72,52,28
Berkshire Arts and Technology Charter Public (District),4140000,28,37,19,9,0,0,0
Berkshire Hills,6180000,74,99,54,15,5,0,0
Berlin-Boylston,6200000,52,85,28,17,5,2,0
Beverly,300000,158,269,87,41,23,5,2
Billerica,310000,220,457,92,66,35,17,10
Blackstone Valley Regional Vocational Technical,8050000,233,359,129,89,10,4,1
Blackstone-Millville,6220000,57,91,37,10,6,4,0
Blue Hills Regional Vocational Technical,8060000,43,59,27,16,0,0,0
Boston,350000,"3,161","5,505","1,636",907,459,122,37
Boston Collegiate Charter (District),4490000,112,218,45,40,15,12,0
Boston Green Academy Horace Mann Charter School (District),4110000,37,59,19,14,4,0,0
Boston Preparatory Charter Public (District),4160000,43,63,28,10,5,0,0
Bourne,360000,72,135,30,24,16,1,1
Braintree,400000,362,774,147,96,59,45,15
Bridgewater-Raynham,6250000,228,370,129,70,18,8,3
Bristol County Agricultural,9100000,32,54,14,14,4,0,0
Bristol-Plymouth Regional Vocational Technical,8100000,52,67,38,13,1,0,0
Brockton,440000,290,423,187,78,21,3,1
Brooke Charter School (District),4280000,193,319,103,59,26,5,0
Brookline,460000,435,757,228,117,69,17,4
Burlington,480000,146,245,84,35,18,8,1
Cambridge,490000,417,758,212,106,68,26,5
Canton,500000,252,571,83,80,57,10,22
Cape Cod Regional Vocational Technical,8150000,17,26,8,9,0,0,0
Carver,520000,71,106,44,19,8,0,0
Central Berkshire,6350000,105,167,60,30,13,2,0
Chelmsford,560000,260,460,128,83,35,11,3
Chelsea,570000,125,166,89,31,5,0,0
Chicopee,610000,214,389,117,45,37,8,7
City on a Hill Charter Public School Circuit Street (District),4370000,28,50,13,8,7,0,0
Clinton,640000,60,98,34,17,7,1,1
Codman Academy Charter Public (District),4380000,14,18,11,2,1,0,0
Cohasset,650000,192,400,63,64,51,14,0
Community Charter School of Cambridge (District),4360000,49,88,22,17,8,2,0
Concord-Carlisle,6400000,274,512,125,78,57,10,4
Danvers,710000,186,361,84,61,22,10,9
Dartmouth,720000,283,600,111,78,56,27,11
Dedham,730000,209,333,127,56,15,7,4
Dennis-Yarmouth,6450000,139,268,57,45,27,10,0
Dighton-Rehoboth,6500000,118,247,46,35,22,10,5
Douglas,770000,64,138,23,16,18,6,1
Dover-Sherborn,6550000,220,550,42,78,62,26,12
Dracut,790000,122,184,78,30,11,2,1
Dudley-Charlton Reg,6580000,265,476,132,74,43,13,3
Duxbury,820000,323,682,130,84,65,32,12
East Bridgewater,830000,136,285,40,55,29,12,0
East Longmeadow,870000,155,257,84,42,27,2,0
Easthampton,860000,115,154,84,23,8,0,0
Easton,880000,267,529,108,90,45,17,7
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,62,73,51,11,0,0,0
Essex North Shore Agricultural and Technical School District,8170000,113,149,82,26,5,0,0
Everett,930000,221,355,125,64,27,4,1
Excel Academy Charter (District),4100000,310,602,123,103,64,19,1
Fairhaven,940000,180,314,76,77,24,3,0
Fall River,950000,248,487,109,71,41,22,5
Falmouth,960000,113,230,46,33,20,12,2
Fitchburg,970000,234,494,113,41,37,28,15
Foxborough,990000,206,426,85,51,47,17,6
Foxborough Regional Charter (District),4460000,106,176,54,35,16,1,0
Framingham,1000000,427,820,196,120,70,32,9
Francis W. Parker Charter Essential (District),4780000,11,14,8,3,0,0,0
Franklin,1010000,494,"1,022",225,114,88,40,27
Franklin County Regional Vocational Technical,8180000,13,14,12,1,0,0,0
Freetown-Lakeville,6650000,174,336,67,63,33,11,0
Frontier,6700000,110,182,60,31,16,3,0
Gardner,1030000,62,115,30,16,11,5,0
Gateway,6720000,28,50,18,4,1,4,1
Georgetown,1050000,66,117,31,22,10,3,0
Gill-Montague,6740000,20,30,13,4,3,0,0
Gloucester,1070000,96,160,50,32,10,4,0
Grafton,1100000,192,332,96,59,30,7,0
Granby,1110000,39,64,20,14,4,1,0
Greater Fall River Regional Vocational Technical,8210000,61,78,45,15,1,0,0
Greater Lowell Regional Vocational Technical,8280000,105,131,82,21,1,1,0
Greater New Bedford Regional Vocational Technical,8250000,67,79,56,10,1,0,0
Greenfield,1140000,66,129,26,21,16,2,1
Greenfield Commonwealth Virtual District,39010000,19,27,13,5,0,1,0
Groton-Dunstable,6730000,198,370,78,76,36,8,0
Hadley,1170000,33,44,25,5,3,0,0
Hamilton-Wenham,6750000,133,219,74,40,14,3,2
Hampden Charter School of Science East (District),4990000,115,200,58,34,18,5,0
Hampden Charter School of Science West (District),35160000,1,,,,,,
Hampden-Wilbraham,6800000,156,274,78,45,28,3,2
Hampshire,6830000,110,169,71,27,6,4,2
Hanover,1220000,259,494,124,74,39,11,11
Harvard,1250000,129,257,58,35,20,13,3
Hatfield,1270000,47,65,30,16,1,0,0
Haverhill,1280000,275,483,142,78,38,14,3
Hingham,1310000,304,588,131,85,70,14,4
Holbrook,1330000,41,74,23,7,7,4,0
Holliston,1360000,254,452,121,80,42,10,1
Holyoke,1370000,71,109,44,18,7,2,0
Hoosac Valley Regional,6030000,76,120,47,14,15,0,0
Hopedale,1380000,97,156,59,22,12,3,1
Hopkinton,1390000,498,"1,087",192,131,94,55,26
Hudson,1410000,125,193,68,46,11,0,0
Hull,1420000,56,107,28,12,11,4,1
Innovation Academy Charter (District),4350000,5,,,,,,
Ipswich,1440000,121,266,44,31,30,10,6
KIPP Academy Lynn Charter (District),4290000,101,155,58,33,9,1,0
King Philip,6900000,378,827,139,100,85,40,14
Lawrence,1490000,210,362,105,75,16,11,3
Lee,1500000,31,63,14,6,7,4,0
Leicester,1510000,69,102,44,17,8,0,0
Lenox,1520000,59,105,27,19,12,1,0
Leominster,1530000,152,300,71,39,24,11,7
Lexington,1550000,974,"1,848",432,326,125,71,20
Lincoln-Sudbury,6950000,255,359,179,54,17,4,1
Littleton,1580000,99,186,43,30,21,5,0
Longmeadow,1590000,144,269,71,42,13,15,3
Lowell,1600000,144,214,87,44,13,0,0
Ludlow,1610000,139,250,66,39,30,4,0
Lunenburg,1620000,92,169,37,37,15,2,1
Lynn,1630000,428,781,237,86,60,35,10
Lynnfield,1640000,188,403,76,54,30,17,11
MATCH Charter Public School (District),4690000,148,230,110,15,6,13,4
Ma Academy for Math and Science,4680000,50,129,9,18,10,12,1
Malden,1650000,240,391,125,85,24,6,0
Manchester Essex Regional,6980000,160,391,43,46,43,15,13
Mansfield,1670000,297,544,140,83,61,10,3
Marblehead,1680000,329,701,138,90,45,36,20
Marlborough,1700000,168,373,57,52,31,23,5
Marshfield,1710000,204,397,90,58,35,19,2
Martha's Vineyard,7000000,150,328,55,48,24,11,12
