District Name,District Code,K,1,2,3,4,5,6,7,8,9,10,11,12,All Grades,Total Students
Abby Kelley Foster Charter Public (District),4450000,117,116,119,117,122,115,120,113,111,96,87,73,61,"1,367","1,425"
Abington,10000,171,176,151,132,155,146,172,139,149,64,70,60,89,"1,674","2,107"
Academy Of the Pacific Rim Charter Public (District),4120000,,,,,,56,67,73,76,81,62,53,48,516,538
Acton-Boxborough,6000000,287,325,372,381,405,386,416,286,325,262,266,121,114,"3,946","5,164"
Acushnet,30000,81,82,104,91,71,0,0,0,0,,,,,429,879
Advanced Math and Science Academy Charter (District),4300000,,,,,,,122,124,122,127,105,44,78,722,960
Agawam,50000,225,250,245,224,271,239,257,272,276,218,170,125,116,"2,888","3,357"
Alma del Mar Charter School (District),4090000,101,98,101,103,52,49,48,44,48,,,,,644,791
Amesbury,70000,136,132,113,134,135,160,168,153,143,91,76,95,124,"1,660","1,830"
Amherst,80000,129,130,144,131,153,153,138,,,,,,,978,978
Amherst-Pelham,6050000,,,,,,,,207,187,117,119,153,131,914,"1,285"
Andover,90000,318,352,451,401,416,456,454,450,476,355,330,202,298,"4,959","5,508"
Argosy Collegiate Charter School (District),35090000,,,,,,,109,109,109,0,6,10,12,355,576
Arlington,100000,447,480,536,461,507,442,481,445,435,239,189,136,160,"4,958","5,692"
Ashburnham-Westminster,6100000,136,138,178,144,161,165,179,172,160,85,88,49,67,"1,722","2,187"
Ashland,140000,201,180,202,201,218,215,236,227,220,141,126,123,115,"2,405","2,720"
Assabet Valley Regional Vocational Technical,8010000,,,,,,,,,,24,32,22,90,168,"1,138"
Athol-Royalston,6150000,111,108,120,131,125,122,115,114,113,68,42,35,40,"1,244","1,426"
Atlantis Charter (District),4910000,0,0,0,0,0,0,0,0,0,0,0,5,27,32,"1,290"
Attleboro,160000,336,417,394,402,413,451,426,465,476,261,235,239,238,"4,753","5,630"
Auburn,170000,164,183,187,163,202,193,212,210,166,119,148,117,130,"2,194","2,451"
Avon,180000,40,45,53,54,52,62,57,50,57,39,26,30,37,602,680
Ayer Shirley School District,6160000,120,142,123,125,137,133,138,137,137,93,87,67,74,"1,513","1,552"
Barnstable,200000,344,349,362,369,335,362,305,267,328,203,188,146,129,"3,687","4,567"
Baystate Academy Charter Public School (District),35020000,,,,,,,75,76,78,71,0,0,4,304,470
Bedford,230000,0,183,198,213,188,195,203,195,194,188,156,158,107,"2,178","2,583"
Belchertown,240000,143,139,151,157,150,160,179,155,155,109,132,126,102,"1,858","2,132"
Bellingham,250000,114,129,130,140,157,143,162,180,74,74,59,81,99,"1,542","1,933"
Belmont,260000,252,337,337,343,360,338,376,372,348,274,178,117,166,"3,798","4,371"
Benjamin Banneker Charter Public (District),4200000,51,45,46,50,48,42,38,,,,,,,320,320
Benjamin Franklin Classical Charter Public (District),4470000,95,95,96,95,96,96,95,52,52,,,,,772,772
Berkley,270000,75,96,84,76,100,97,93,110,97,,,,,828,833
Berkshire Arts and Technology Charter Public (District),4140000,,,,,,,61,67,66,47,38,40,13,332,366
Berkshire Hills,6180000,71,63,64,54,59,81,10,57,47,80,85,95,46,812,"1,158"
Berlin-Boylston,6200000,78,82,69,80,66,87,70,93,75,54,32,34,50,870,"1,024"
Beverly,300000,360,381,366,344,350,232,339,321,291,252,271,251,194,"3,952","4,549"
Billerica,310000,370,366,364,368,355,381,363,379,220,197,164,167,208,"3,902","4,485"
Blackstone Valley Regional Vocational Technical,8050000,,,,,,,,,,67,69,148,198,482,"1,231"
Blackstone-Millville,6220000,111,106,121,127,107,144,84,121,137,63,66,68,79,"1,334","1,526"
Blue Hills Regional Vocational Technical,8060000,,,,,,,,,,30,24,26,84,164,874
Boston,350000,"3,126","3,330","3,454","3,467","3,386","3,008","1,591","2,435","1,989","1,102","1,223","1,288","1,680","31,079","45,385"
Boston Collegiate Charter (District),4490000,,,,,,65,96,106,95,90,88,80,20,640,719
Boston Day and Evening Academy Charter (District),4240000,,,,,,,,,,7,1,2,11,21,437
Boston Green Academy Horace Mann Charter School (District),4110000,,,,,,,26,33,31,56,29,20,24,219,487
Boston Preparatory Charter Public (District),4160000,,,,,,,98,107,105,48,24,27,26,435,663
Boston Renaissance Charter Public (District),4810000,128,142,140,115,108,100,55,,,,,,,788,831
Bourne,360000,76,103,97,134,127,152,136,168,141,93,55,62,104,"1,448","1,612"
Boxford,380000,81,104,81,80,97,110,95,,,,,,,648,648
Braintree,400000,305,395,419,363,413,409,416,449,415,132,288,216,210,"4,430","5,395"
Brewster,410000,66,66,66,54,81,77,,,,,,,,410,410
Bridge Boston Charter School (District),4170000,40,37,36,40,40,35,30,27,0,,,,,285,305
Bridgewater-Raynham,6250000,387,406,403,411,363,339,346,376,278,32,22,54,80,"3,497","5,202"
Brimfield,430000,0,41,24,39,40,32,47,,,,,,,223,250
Bristol County Agricultural,9100000,,,,,,,,,,0,0,0,0,0,448
Bristol-Plymouth Regional Vocational Technical,8100000,,,,,,,,,,187,25,26,24,262,"1,311"
Brockton,440000,"1,150","1,024","1,060","1,148","1,273","1,277","1,151","1,215","1,287",333,596,477,514,"12,505","15,092"
Brooke Charter School (District),4280000,191,191,191,192,192,181,182,180,0,3,95,4,2,"1,604","2,060"
Brookfield,450000,0,35,34,36,33,39,34,,,,,,,211,249
Brookline,460000,481,494,478,533,482,523,552,491,557,379,318,209,254,"5,751","6,625"
Burlington,480000,0,275,287,294,302,278,256,241,257,77,80,76,102,"2,525","3,394"
Cambridge,490000,576,511,513,533,475,455,416,379,410,258,256,214,244,"5,240","6,161"
Canton,500000,225,240,239,223,256,249,232,269,226,176,157,141,186,"2,819","3,140"
Cape Cod Lighthouse Charter (District),4320000,,,,,,,83,83,82,,,,,248,251
Cape Cod Regional Vocational Technical,8150000,,,,,,,,,,72,65,8,10,155,626
Carlisle,510000,55,53,69,68,70,57,63,78,64,,,,,577,580
Carver,520000,81,118,119,106,128,114,89,61,43,49,26,14,25,973,"1,452"
Central Berkshire,6350000,77,102,83,101,105,86,13,8,121,75,37,47,73,928,"1,476"
Chelmsford,560000,366,356,385,401,382,360,379,384,340,254,201,198,244,"4,250","4,819"
Chelsea,570000,482,477,514,497,499,421,473,514,418,282,313,257,195,"5,342","5,867"
Chesterfield-Goshen,6320000,11,17,15,16,17,14,17,,,,,,,107,107
Chicopee,610000,435,455,451,489,538,526,306,266,308,299,327,315,355,"5,070","6,726"
Christa McAuliffe Charter Public (District),4180000,,,,,,,128,139,128,,,,,395,400
City on a Hill Charter Public School Circuit Street (District),4370000,,,,,,,,,,59,4,0,0,63,275
Clarksburg,630000,19,15,18,30,13,24,19,30,24,,,,,192,192
Clinton,640000,146,131,168,133,146,143,134,165,142,12,32,22,44,"1,418","1,807"
Codman Academy Charter Public (District),4380000,19,20,21,20,21,21,23,0,0,10,15,13,3,186,324
Cohasset,650000,98,105,97,102,115,93,116,124,103,100,113,96,121,"1,383","1,416"
Collegiate Charter School of Lowell (District),35030000,76,84,112,119,115,120,97,121,93,31,0,,,968,"1,003"
Community Charter School of Cambridge (District),4360000,,,,,,,30,41,60,56,0,8,16,211,306
Community Day Charter Public School - Gateway (District),4260000,0,0,0,0,0,0,0,0,0,,,,,0,366
Community Day Charter Public School - Prospect (District),4400000,0,0,0,0,0,0,0,0,0,,,,,0,368
Community Day Charter Public School - R. Kingman Webster (District),4310000,0,0,0,0,0,0,0,0,0,,,,,0,371
Concord,670000,181,214,227,225,209,236,215,230,234,,,,,"1,971","1,980"
Concord-Carlisle,6400000,,,,,,,,,,209,176,127,172,684,"1,310"
Conservatory Lab Charter (District),4390000,51,52,52,54,54,47,28,31,30,,,,,399,399
Conway,680000,14,16,18,16,19,21,16,,,,,,,120,121
Danvers,710000,263,253,262,255,260,262,272,254,249,182,150,114,112,"2,888","3,221"
Dartmouth,720000,185,230,216,225,236,217,263,262,300,213,152,155,190,"2,844","3,341"
Dedham,730000,202,214,179,172,188,168,188,198,235,114,103,69,80,"2,110","2,463"
Deerfield,740000,25,52,40,53,48,38,47,,,,,,,303,304
Dennis-Yarmouth,6450000,206,220,237,183,191,204,135,167,136,108,148,124,72,"2,131","2,686"
Dighton-Rehoboth,6500000,182,173,204,194,203,200,202,231,233,105,108,95,154,"2,284","2,571"
Douglas,770000,64,94,85,76,101,95,90,85,97,15,5,8,31,846,"1,145"
Dover,780000,62,81,78,75,89,87,,,,,,,,472,472
Dover-Sherborn,6550000,,,,,,,163,185,162,138,147,121,114,"1,030","1,182"
Dracut,790000,308,297,304,310,269,300,291,251,290,59,55,86,89,"2,909","3,616"
Dudley Street Neighborhood Charter School (District),4070000,0,0,0,0,0,0,,,,,,,,0,232
Dudley-Charlton Reg,6580000,217,232,248,253,246,261,288,330,283,78,53,49,84,"2,622","3,370"
Duxbury,820000,188,172,176,193,197,217,192,218,239,208,182,151,166,"2,499","2,775"
East Bridgewater,830000,141,146,140,166,156,165,152,169,161,133,159,138,110,"1,936","2,046"
East Longmeadow,870000,138,163,152,190,169,189,195,153,186,119,128,90,110,"1,982","2,405"
Eastham,850000,24,28,28,30,34,30,,,,,,,,174,174
Easthampton,860000,108,111,119,107,111,127,112,91,113,67,64,69,61,"1,260","1,418"
Easton,880000,148,229,232,251,248,275,297,267,301,91,85,84,83,"2,591","3,381"
Edgartown,890000,40,41,44,36,44,36,55,35,37,,,,,368,385
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,,,,,,,,,,0,0,76,68,144,401
Erving,910000,15,17,15,12,13,21,8,,,,,,,101,101
Essex North Shore Agricultural and Technical School District,8170000,,,,,,,,,,0,9,30,20,59,"1,566"
Everett,930000,458,553,525,571,533,545,534,525,541,340,283,245,212,"5,865","6,885"
Excel Academy Charter (District),4100000,,,,,,177,177,176,181,50,51,35,29,876,"1,399"
Fairhaven,940000,0,0,0,0,0,0,0,0,0,90,125,92,24,331,"1,876"
Fall River,950000,755,864,847,867,894,909,739,698,677,181,236,197,208,"8,072","10,048"
Falmouth,960000,193,218,224,248,227,238,247,251,263,153,152,133,137,"2,684","2,925"
Farmington River Reg,6620000,20,20,10,13,14,10,10,,,,,,,97,97
Fitchburg,970000,337,415,465,384,443,390,402,370,341,199,202,134,110,"4,192","5,066"
Florida,980000,12,7,9,2,11,7,4,19,15,,,,,86,86
Four Rivers Charter Public (District),4130000,,,,,,,,34,38,20,27,23,18,160,215
Foxborough,990000,163,179,159,169,186,166,175,208,204,116,85,100,103,"2,013","2,398"
Foxborough Regional Charter (District),4460000,145,145,152,149,149,148,151,142,148,5,6,24,22,"1,386","1,687"
Framingham,1000000,659,659,791,680,714,718,644,664,657,407,410,282,214,"7,499","8,627"
Francis W. Parker Charter Essential (District),4780000,,,,,,,,0,0,0,1,21,26,48,391
Franklin,1010000,274,270,330,324,353,324,344,378,407,365,271,191,200,"4,031","4,760"
Franklin County Regional Vocational Technical,8180000,,,,,,,,,,0,0,0,0,0,557
Freetown-Lakeville,6650000,202,208,198,201,197,207,190,193,213,171,107,58,111,"2,256","2,666"
Frontier,6700000,,,,,,,,32,29,58,36,51,55,261,646
Gardner,1030000,149,156,138,157,142,88,102,90,107,83,34,46,51,"1,343","2,134"
Gateway,6720000,48,47,52,68,52,58,74,66,56,33,34,16,42,646,722
Georgetown,1050000,83,104,102,101,90,97,81,110,84,68,54,67,76,"1,117","1,200"
Gill-Montague,6740000,58,57,70,76,64,73,64,79,71,50,32,25,42,761,814
Global Learning Charter Public (District),4960000,,,,,,89,90,91,90,37,44,28,23,492,503
Gloucester,1070000,197,187,183,177,183,202,210,203,202,126,95,76,66,"2,107","2,692"
Gosnold,1090000,,,2,1,1,1,1,,,,,,,6,6
Grafton,1100000,162,192,182,231,220,247,273,245,272,111,84,104,109,"2,432","3,052"
Granby,1110000,48,51,64,50,44,57,46,44,43,45,47,46,38,623,686
Greater Fall River Regional Vocational Technical,8210000,,,,,,,,,,24,24,23,23,94,"1,439"
Greater Lawrence Regional Vocational Technical,8230000,,,,,,,,,,0,35,32,48,115,"1,629"
Greater Lowell Regional Vocational Technical,8280000,,,,,,,,,,44,44,36,49,173,"2,268"
Greater New Bedford Regional Vocational Technical,8250000,,,,,,,,,,47,33,32,41,153,"2,106"
Greenfield,1140000,120,138,115,132,134,119,122,121,113,74,68,77,61,"1,394","1,501"
Greenfield Commonwealth Virtual District,39010000,33,37,41,55,55,57,75,93,103,14,10,14,43,630,"1,079"
Groton-Dunstable,6730000,133,154,168,170,177,153,194,169,169,115,106,98,74,"1,880","2,229"
Hadley,1170000,37,31,36,27,33,38,34,32,32,36,24,20,26,406,493
Halifax,1180000,70,61,84,95,100,78,80,,,,,,,568,568
Hamilton-Wenham,6750000,123,118,122,132,124,115,135,117,127,113,104,83,114,"1,527","1,646"
Hampden Charter School of Science East (District),4990000,,,,,,,71,85,87,10,9,20,23,305,535
Hampden Charter School of Science West (District),35160000,,,,,,,55,73,69,24,19,16,,256,327
Hampden-Wilbraham,6800000,155,192,181,193,198,204,179,202,209,143,130,148,142,"2,276","2,780"
Hampshire,6830000,,,,,,,,128,119,31,69,53,56,456,680
Hancock,1210000,6,9,5,4,8,6,9,,,,,,,47,47
Hanover,1220000,202,213,201,175,206,195,204,181,217,118,103,87,77,"2,179","2,571"
Harvard,1250000,47,62,58,74,68,78,79,85,80,67,45,47,46,836,988
Hatfield,1270000,18,27,31,23,38,27,36,28,31,16,12,20,13,320,379
Haverhill,1280000,499,569,604,631,630,611,676,664,687,353,222,188,278,"6,612","7,616"
Hawlemont,6850000,14,12,14,12,23,16,19,,,,,,,110,110
Helen Y. Davis Leadership Academy Charter Public (District),4190000,,,,,,,0,0,0,,,,,0,189
Hill View Montessori Charter Public (District),4550000,36,32,33,33,40,34,31,33,32,,,,,304,304
Hilltown Cooperative Charter Public (District),4500000,20,20,20,21,22,22,30,31,32,,,,,218,218
Hingham,1310000,224,251,278,301,303,322,294,308,254,115,60,102,110,"2,922","3,884"
Holbrook,1330000,84,101,107,102,107,101,83,95,81,29,20,30,30,970,"1,228"
Holland,1350000,1,21,25,33,29,27,30,,,,,,,166,191
Holliston,1360000,140,191,170,210,220,226,226,226,227,164,142,140,129,"2,411","2,704"
Holyoke,1370000,292,339,307,282,354,345,312,311,254,65,195,188,178,"3,422","4,948"
Holyoke Community Charter (District),4530000,0,0,0,0,0,0,0,0,0,,,,,0,701
Hoosac Valley Regional,6030000,71,83,68,70,79,75,101,105,13,38,31,33,26,793,988
Hopedale,1380000,79,71,65,81,81,77,75,90,88,46,65,41,54,913,"1,015"
Hopkinton,1390000,275,282,316,275,315,300,304,299,324,196,202,159,153,"3,400","3,887"
Hudson,1410000,171,179,187,214,194,213,162,203,200,151,116,81,98,"2,169","2,410"
Hull,1420000,0,0,0,0,0,0,49,45,54,42,37,25,20,272,766
Innovation Academy Charter (District),4350000,,,,,,100,102,102,100,88,69,63,54,678,792
Ipswich,1440000,93,97,105,132,117,120,115,121,135,104,93,106,99,"1,437","1,576"
KIPP Academy Boston Charter School (District),4630000,72,68,66,70,72,75,71,60,59,,,,,613,620
KIPP Academy Lynn Charter (District),4290000,123,124,123,124,124,128,126,0,0,111,111,69,80,"1,243","1,611"
King Philip,6900000,,,,,,,,362,39,198,150,118,142,"1,009","1,939"
Kingston,1450000,132,144,149,147,143,162,150,,,,,,,"1,027","1,028"
