District Name,District Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Abby Kelley Foster Charter Public (District),4450000,97,5,14,6.5,2.6
Abington,10000,90.5,15.7,46.5,29.5,12.9
Academy Of the Pacific Rim Charter Public (District),4120000,92.8,12.6,30.5,17.3,27.2
Acton-Boxborough,6000000,97.7,3.9,9,4.1,0.1
Acushnet,30000,96.9,5.1,15.4,6.6,6
Advanced Math and Science Academy Charter (District),4300000,96.4,6,17.5,6.7,0
Agawam,50000,92.8,11.8,38.8,22.8,10.1
Alma del Mar Charter School (District),4090000,92.7,12.6,45.4,24.1,2.8
Amesbury,70000,94.5,9.3,29.2,16.3,4.5
Amherst,80000,94.5,8.7,23.2,15.7,1.3
Amherst-Pelham,6050000,91.9,13.4,25.6,18.4,0.5
Andover,90000,96.5,5.9,16.4,7.3,1.2
Argosy Collegiate Charter School (District),35090000,94.3,9.5,29.2,16.7,1.9
Arlington,100000,96.9,5.1,13.1,5.5,1.2
Ashburnham-Westminster,6100000,95.5,7.5,21.5,9.9,8.1
Ashland,140000,94.8,8.6,29.2,16.1,5.7
Assabet Valley Regional Vocational Technical,8010000,93.2,11.5,37.9,21.3,15.1
Athol-Royalston,6150000,92.7,11.6,36.6,22,11.3
Atlantis Charter (District),4910000,94.5,9.4,28.8,16.7,26.9
Attleboro,160000,90.8,15,40.5,27.6,11.5
Auburn,170000,94.4,9.3,27.1,15.6,0
Avon,180000,96.6,5.5,17,7.9,8.9
Ayer Shirley School District,6160000,93.9,10,33.9,18.7,9.2
Barnstable,200000,91,14.5,45.3,30.4,16.6
Baystate Academy Charter Public School (District),35020000,92.5,13.1,42.2,21.9,0
Bedford,230000,97.2,4.8,12.2,5.2,1.4
Belchertown,240000,94.6,8.9,26.8,15.8,20.8
Bellingham,250000,94.2,9.6,27.8,16.5,7.6
Belmont,260000,97.4,4.3,11,5.1,2
