District Name,District Code,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%)
Abby Kelley Foster Charter Public (District),04450000,83,57,68.7,0,29.8,22.8,47.4,22.8,15.8,29.8
Abington,00010000,115,91,79.1,0,29.7,17.6,51.6,17.6,16.5,17.6
Academy Of the Pacific Rim Charter Public (District),04120000,44,24,54.5,0,25,33.3,41.7,33.3,25,16.7
Acton-Boxborough,06000000,451,375,83.1,0,46.1,5.1,48.8,5.1,2.4,18.4
Advanced Math and Science Academy Charter (District),04300000,134,116,86.6,0,44,5.2,50.9,5.2,3.4,26.7
Agawam,00050000,265,173,65.3,0,50.9,30.1,19.1,28.3,8.7,5.2
Amesbury,00070000,151,102,67.5,0,33.3,24.5,42.2,22.5,3.9,13.7
Amherst-Pelham,06050000,225,151,67.1,0.7,43.7,20.5,35.1,19.9,5.3,22.5
Andover,00090000,433,351,81.1,0,52.4,7.4,40.2,6.6,6,16.5
Arlington,00100000,342,259,75.7,0,57.9,8.9,33.2,8.5,2.3,14.3
Ashburnham-Westminster,06100000,164,121,73.8,0,35.5,19.8,44.6,19.8,17.4,19
Ashland,00140000,220,184,83.6,0,42.4,5.4,52.2,5.4,12,23.9
Assabet Valley Regional Vocational Technical,08010000,264,107,40.5,0,27.1,25.2,47.7,25.2,34.6,9.3
Athol-Royalston,06150000,79,38,48.1,0,15.8,55.3,28.9,52.6,18.4,5.3
Atlantis Charter (District),04910000,58,44,75.9,0,27.3,27.3,45.5,27.3,22.7,15.9
Attleboro,00160000,421,261,62,0,40.6,19.9,39.1,18.4,10,14.6
Auburn,00170000,180,139,77.2,0,38.1,18,43.9,18,18.7,13.7
Avon,00180000,47,35,74.5,0,37.1,17.1,45.7,17.1,25.7,17.1
Ayer Shirley School District,06160000,104,73,70.2,0,31.5,16.4,52.1,16.4,17.8,20.5
Barnstable,00200000,341,216,63.3,0,31.5,28.2,40.3,27.3,11.6,11.1
Baystate Academy Charter Public School (District),35020000,52,28,53.8,0,42.9,39.3,17.9,39.3,14.3,3.6
Bedford,00230000,194,151,77.8,0,43.7,12.6,43.7,11.3,3.3,20.5
Belchertown,00240000,169,114,67.5,0,34.2,33.3,32.5,33.3,9.6,13.2
Bellingham,00250000,154,89,57.8,0,37.1,11.2,51.7,10.1,30.3,12.4
Belmont,00260000,333,260,78.1,0,65.4,4.2,30.4,4.2,0.8,17.7
Berkshire Arts and Technology Charter Public (District),04140000,27,21,77.8,0,28.6,14.3,57.1,14.3,19,23.8
Berkshire Hills,06180000,114,70,61.4,0,45.7,27.1,27.1,22.9,2.9,10
Berlin-Boylston,06200000,77,57,74,0,36.8,22.8,40.4,22.8,21.1,10.5
Beverly,00300000,289,217,75.1,0,36.9,16.6,46.5,16.6,11.5,14.7
Billerica,00310000,342,272,79.5,0,37.1,16.9,46,16.9,9.2,26.1
Blackstone Valley Regional Vocational Technical,08050000,296,208,70.3,0,34.6,13,52.4,12.5,22.1,17.3
Blackstone-Millville,06220000,104,61,58.7,0,47.5,6.6,45.9,4.9,14.8,16.4
Blue Hills Regional Vocational Technical,08060000,188,109,58,0,32.1,27.5,40.4,26.6,12.8,22.9
Boston,00350000,3328,1680,50.5,0.8,39.2,22,38,21.5,5.8,28.3
Boston Collegiate Charter (District),04490000,58,50,86.2,0,48,10,42,8,20,18
Boston Day and Evening Academy Charter (District),04240000,40,12,30,0,16.7,41.7,41.7,41.7,0,33.3
Boston Green Academy Horace Mann Charter School (District),04110000,66,35,53,0,37.1,37.1,25.7,37.1,14.3,8.6
Boston Preparatory Charter Public (District),04160000,48,37,77.1,0,45.9,13.5,40.5,13.5,10.8,29.7
Bourne,00360000,124,94,75.8,0,27.7,18.1,54.3,17,10.6,23.4
Braintree,00400000,415,328,79,0,43.3,11.6,44.8,11.6,9.5,26.5
Bridgewater-Raynham,06250000,370,267,72.2,0,39.3,10.9,49.4,10.1,16.5,17.2
Bristol County Agricultural,09100000,104,55,52.9,0,27.3,36.4,36.4,36.4,7.3,5.5
Bristol-Plymouth Regional Vocational Technical,08100000,272,107,39.3,0,24.3,35.5,39.3,34.6,20.6,14
Brockton,00440000,1122,476,42.4,0.2,29.6,35.9,32.4,34.9,11.3,17.4
Brooke Charter School (District),04280000,54,43,79.6,0,53.5,7,39.5,4.7,2.3,37.2
Brookline,00460000,473,352,74.4,0,60.2,6.3,33.5,5.7,4,15.6
Burlington,00480000,256,213,83.2,0,32.4,15,52.6,14.6,7,31
Cambridge,00490000,500,326,65.2,0,50.6,13.2,36.2,12.6,6.4,23
Canton,00500000,239,202,84.5,0,51.5,8.4,40.1,8.4,5.4,17.8
Cape Cod Regional Vocational Technical,08150000,138,42,30.4,0,23.8,47.6,28.6,47.6,11.9,9.5
Carver,00520000,100,66,66,0,27.3,24.2,48.5,24.2,21.2,15.2
Central Berkshire,06350000,114,77,67.5,0,33.8,26,40.3,22.1,18.2,13
Chelmsford,00560000,364,298,81.9,0,40.9,8.4,50.7,8.4,9.4,24.5
Chelsea,00570000,324,106,32.7,0,12.3,66,21.7,64.2,6.6,14.2
Chicopee,00610000,488,237,48.6,0,35.4,41.8,22.8,41.4,10.5,8
City on a Hill Charter Public School Circuit Street (District),04370000,47,34,72.3,0,70.6,8.8,20.6,8.8,11.8,8.8
City on a Hill Charter Public School Dudley Square (District),35040000,51,36,70.6,0,30.6,27.8,41.7,27.8,16.7,25
City on a Hill Charter Public School New Bedford (District),35070000,24,8,33.3,0,12.5,25,62.5,25,25,37.5
Clarksburg,00630000,1,,,,,,,,,
Clinton,00640000,104,64,61.5,0,32.8,17.2,50,17.2,18.8,18.8
Codman Academy Charter Public (District),04380000,33,24,72.7,0,37.5,8.3,54.2,8.3,16.7,37.5
Cohasset,00650000,118,99,83.9,0,58.6,1,40.4,1,0,12.1
Community Charter School of Cambridge (District),04360000,47,37,78.7,0,54.1,2.7,43.2,2.7,16.2,24.3
Concord-Carlisle,06400000,300,230,76.7,0,64.8,5.7,29.6,5.7,1.3,7.8
Danvers,00710000,230,163,70.9,0,39.3,14.7,46,14.7,13.5,11
Dartmouth,00720000,252,203,80.6,0,29.1,17.2,53.7,16.3,8.9,28.1
Dedham,00730000,199,149,74.9,0,40.3,13.4,46.3,12.8,12.1,22.8
Dennis-Yarmouth,06450000,191,112,58.6,0,27.7,32.1,40.2,32.1,13.4,16.1
Dighton-Rehoboth,06500000,176,123,69.9,0,39,19.5,41.5,18.7,8.1,18.7
Douglas,00770000,98,68,69.4,0,32.4,20.6,47.1,19.1,22.1,11.8
Dover-Sherborn,06550000,166,131,78.9,0,77.1,0.8,22.1,0.8,3.1,6.9
Dracut,00790000,197,145,73.6,0,33.8,23.4,42.8,22.8,10.3,25.5
Dudley-Charlton Reg,06580000,269,195,72.5,0,42.1,19.5,38.5,16.9,17.9,11.3
Duxbury,00820000,255,207,81.2,0,54.6,1.4,44,1,2.9,14.5
East Bridgewater,00830000,169,124,73.4,0,31.5,13.7,54.8,13.7,21.8,21.8
East Longmeadow,00870000,222,156,70.3,0.6,48.7,26.3,24.4,22.4,6.4,10.9
Easthampton,00860000,118,73,61.9,0,28.8,50.7,20.5,46.6,13.7,1.4
Easton,00880000,260,217,83.5,0,41,5.5,53.5,5.5,13.8,20.7
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,83,62,74.7,0,22.6,40.3,37.1,40.3,6.5,25.8
Erving,00910000,1,,,,,,,,,
Essex North Shore Agricultural and Technical School District,08170000,332,201,60.5,0,38.3,15.4,46.3,13.9,15.4,14.4
Everett,00930000,424,190,44.8,0,35.3,18.9,45.8,18.4,16.8,27.9
Excel Academy Charter (District),04100000,145,97,66.9,0,44.3,11.3,44.3,11.3,13.4,29.9
Fairhaven,00940000,160,112,70,0,14.3,33.9,51.8,33.9,17.9,25
Fall River,00950000,467,194,41.5,0,17,47.9,35.1,47.4,13.4,17.5
