District Name,District Code,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,% Dropout Grade 09,% Dropout Grade 10,% Dropout Grade 11,% Dropout Grade 12
Abby Kelley Foster Charter Public (District),04450000,     380,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Abington,00010000,     611,       8,   1.3,   0.0,   3.1,   0.7,   1.3
Academy Of the Pacific Rim Charter Public (District),04120000,     266,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Acton-Boxborough,06000000,"   1,747",       4,   0.2,   0.0,   0.0,   0.2,   0.7
Advanced Math and Science Academy Charter (District),04300000,     589,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Agawam,00050000,"   1,050",      20,   1.9,   2.1,   1.8,   1.8,   1.8
Amesbury,00070000,     555,      12,   2.2,   1.5,   1.6,   2.9,   2.5
Amherst-Pelham,06050000,     862,       9,   1.0,   0.0,   1.9,   0.5,   1.8
Andover,00090000,"   1,728",       5,   0.3,   0.2,   0.2,   0.7,   0.0
Argosy Collegiate Charter School (District),35090000,     245,       4,   1.6,   1.5,   2.4,   1.6,   0.0
Arlington,00100000,"   1,409",       3,   0.2,   0.0,   0.3,   0.3,   0.3
Ashburnham-Westminster,06100000,     635,       6,   0.9,   0.0,   1.2,   1.5,   1.2
Ashland,00140000,     805,       6,   0.7,   0.5,   0.6,   0.9,   0.9
Assabet Valley Regional Vocational Technical,08010000,"   1,149",       6,   0.5,   0.0,   0.7,   0.4,   1.1
Athol-Royalston,06150000,     342,       7,   2.0,   0.0,   3.8,   2.6,   2.4
Atlantis Charter (District),04910000,     307,       4,   1.3,   1.7,   3.4,   0.0,   0.0
Attleboro,00160000,"   1,825",      36,   2.0,   2.0,   1.6,   2.1,   2.2
Auburn,00170000,     716,       4,   0.6,   0.0,   0.5,   0.0,   1.8
Avon,00180000,     191,       1,   0.5,   0.0,   0.0,   2.0,   0.0
Ayer Shirley School District,06160000,     357,       6,   1.7,   1.0,   0.0,   3.7,   2.4
Barnstable,00200000,"   1,369",      25,   1.8,   0.3,   3.0,   2.4,   1.7
Baystate Academy Charter Public School (District),35020000,     242,       1,   0.4,   0.0,   1.5,   0.0,   0.0
Bedford,00230000,     829,      16,   1.9,   6.8,   0.5,   0.4,   0.0
Belchertown,00240000,     689,       8,   1.2,   0.6,   1.6,   1.9,   0.6
Bellingham,00250000,     580,       4,   0.7,   0.0,   0.0,   2.7,   0.0
Belmont,00260000,"   1,309",       0,   0.0,   0.0,   0.0,   0.0,   0.0
Berkshire Arts and Technology Charter Public (District),04140000,     173,       2,   1.2,   2.0,   2.3,   0.0,   0.0
Berkshire Hills,06180000,     501,       7,   1.4,   0.0,   0.0,   2.7,   2.5
Berlin-Boylston,06200000,     313,       2,   0.6,   0.0,   2.8,   0.0,   0.0
Beverly,00300000,"   1,277",      12,   0.9,   0.0,   1.8,   1.2,   0.7
Billerica,00310000,"   1,086",      11,   1.0,   0.8,   0.7,   0.3,   2.5
Blackstone Valley Regional Vocational Technical,08050000,"   1,231",       0,   0.0,   0.0,   0.0,   0.0,   0.0
Blackstone-Millville,06220000,     415,       9,   2.2,   3.0,   2.7,   1.8,   1.1
Blue Hills Regional Vocational Technical,08060000,     890,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Boston,00350000,"  14,342",     292,   2.0,   1.9,   1.8,   1.6,   2.8
Boston Collegiate Charter (District),04490000,     337,       1,   0.3,   1.1,   0.0,   0.0,   0.0
Boston Day and Evening Academy Charter (District),04240000,     356,      88,  24.7,  21.9,  30.8,  19.2,  24.9
Boston Green Academy Horace Mann Charter School (District),04110000,     330,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Boston Preparatory Charter Public (District),04160000,     359,       0,   0.0,   0.0,   0.0,   0.0,   0.0
Bourne,00360000,     417,       5,   1.2,   0.0,   3.2,   0.9,   0.9
Braintree,00400000,"   1,647",      12,   0.7,   0.0,   0.2,   0.9,   1.6
Bridgewater-Raynham,06250000,"   1,370",      12,   0.9,   0.6,   1.5,   0.8,   0.5
Bristol County Agricultural,09100000,     448,       2,   0.4,   0.0,   0.0,   0.0,   2.0
Bristol-Plymouth Regional Vocational Technical,08100000,"   1,319",      11,   0.8,   0.0,   0.3,   1.8,   1.4
Brockton,00440000,"   4,314",     131,   3.0,   2.2,   2.7,   1.9,   5.5
Brooke Charter School (District),04280000,     382,       2,   0.5,   0.0,   0.0,   1.4,   2.4
Brookline,00460000,"   2,017",       3,   0.1,   0.0,   0.0,   0.4,   0.2
Burlington,00480000,     893,       2,   0.2,   0.0,   0.5,   0.4,   0.0
Cambridge,00490000,"   1,833",      20,   1.1,   0.9,   0.8,   1.3,   1.3
Canton,00500000,     945,       9,   1.0,   0.9,   1.0,   0.0,   1.9
Cape Cod Regional Vocational Technical,08150000,     626,       9,   1.4,   0.0,   1.2,   2.0,   3.0
Carver,00520000,     380,       2,   0.5,   0.0,   2.0,   0.0,   0.0
Central Berkshire,06350000,     514,       2,   0.4,   0.0,   0.9,   0.8,   0.0
Chelmsford,00560000,"   1,408",       2,   0.1,   0.3,   0.0,   0.3,   0.0
Chelsea,00570000,"   1,547",      76,   4.9,   3.7,   5.3,   7.1,   3.4
Chicopee,00610000,"   2,171",      37,   1.7,   0.4,   1.5,   1.7,   3.2
City on a Hill Charter Public School Circuit Street (District),04370000,     299,       7,   2.3,   2.9,   2.7,   3.0,   1.1
