District Name,District Code,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total
Abby Kelley Foster Charter Public (District),04450000,       0,     117,     116,     120,     118,     117,     115,     117,     114,     111,      97,      99,      98,      86,       0,"   1,425"
Abington,00010000,      51,     173,     168,     161,     144,     162,     140,     169,     161,     169,     146,     160,     153,     152,       8,"   2,117"
Academy Of the Pacific Rim Charter Public (District),04120000,       0,       0,       0,       0,       0,       0,      53,      72,      73,      76,      82,      63,      63,      58,       0,     540
Acton-Boxborough,06000000,      73,     286,     321,     365,     372,     404,     390,     414,     410,     421,     406,     465,     450,     426,       4,"   5,207"
Acushnet,00030000,      28,      86,      83,     117,      95,      80,     108,     104,     100,     109,       0,       0,       0,       0,       0,     910
Advanced Math and Science Academy Charter (District),04300000,       0,       0,       0,       0,       0,       0,       0,     127,     125,     125,     146,     155,     147,     141,       0,     966
Agawam,00050000,     106,     227,     257,     251,     230,     278,     254,     272,     308,     275,     281,     281,     217,     271,       0,"   3,508"
Alma del Mar Charter School (District),04090000,       0,     100,     103,     102,     103,      52,      49,     146,      94,      48,       0,       0,       0,       0,       0,     797
Amesbury,00070000,      25,     134,     122,     116,     125,     142,     157,     166,     155,     147,     136,     126,     136,     157,       8,"   1,852"
Amherst,00080000,      32,     127,     134,     146,     132,     157,     161,     140,       0,       0,       0,       0,       0,       0,       0,"   1,029"
Amherst-Pelham,06050000,       0,       0,       0,       0,       0,       0,       0,       0,     210,     203,     212,     206,     220,     224,       8,"   1,283"
Andover,00090000,      54,     313,     349,     442,     402,     417,     458,     455,     452,     476,     437,     437,     408,     446,      28,"   5,574"
Argosy Collegiate Charter School (District),35090000,       0,       0,       0,       0,       0,       0,       0,     108,     109,     109,      65,      85,      64,      31,       0,     571
Arlington,00100000,      65,     453,     484,     533,     467,     508,     461,     483,     456,     436,     363,     352,     359,     335,       0,"   5,755"
Ashburnham-Westminster,06100000,      29,     136,     144,     184,     156,     161,     178,     191,     189,     179,     166,     165,     132,     172,      12,"   2,194"
Ashland,00140000,      50,     191,     180,     202,     200,     222,     208,     229,     224,     218,     195,     175,     224,     211,       0,"   2,729"
Assabet Valley Regional Vocational Technical,08010000,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     306,     291,     283,     269,       0,"   1,149"
Athol-Royalston,06150000,      46,     100,     109,     117,     127,     122,     118,     113,     116,     111,     100,      79,      78,      85,       4,"   1,425"
Atlantis Charter (District),04910000,       0,     110,     110,     110,     109,     110,     110,     110,     110,     110,      58,      87,      76,      86,       0,"   1,296"
Attleboro,00160000,     104,     335,     416,     397,     407,     422,     456,     433,     463,     479,     450,     448,     471,     456,      15,"   5,752"
Auburn,00170000,      66,     161,     182,     187,     167,     206,     195,     213,     218,     202,     168,     201,     176,     171,       5,"   2,518"
Avon,00180000,      11,      42,      46,      52,      54,      50,      62,      55,      59,      61,      53,      49,      50,      39,       0,     683
Ayer Shirley School District,06160000,      51,     118,     142,     120,     128,     140,     137,     136,     137,     137,      99,      95,      81,      82,       0,"   1,603"
Barnstable,00200000,     124,     327,     342,     359,     379,     340,     364,     358,     351,     389,     355,     335,     334,     345,      11,"   4,713"
