District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Abby Kelley Foster Charter Public (District),04450000,"     1,437",     3.2,     2.2,"     1,428",    97.4
Abington,00010000,"     2,215",     8.1,     4.7,"     2,125",    95.8
Academy Of the Pacific Rim Charter Public (District),04120000,       544,     4.2,     2.9,       540,    96.5
Acton-Boxborough,06000000,"     5,322",     3.7,     2.3,"     5,211",    98.4
Acushnet,00030000,       942,     6.8,     3.8,       914,    96.1
Advanced Math and Science Academy Charter (District),04300000,       974,     2.8,     1.3,       966,    98.0
Agawam,00050000,"     3,626",     9.8,     5.2,"     3,495",    94.0
Alma del Mar Charter School (District),04090000,       809,     3.5,     1.5,       798,    97.9
Amesbury,00070000,"     2,010",    13.7,     7.6,"     1,893",    93.7
Amherst,00080000,"     1,104",    15.8,     8.6,"     1,035",    91.0
Amherst-Pelham,06050000,"     1,308",     4.7,     2.3,"     1,286",    97.0
Andover,00090000,"     5,697",     4.2,     2.4,"     5,589",    97.7
Argosy Collegiate Charter School (District),35090000,       579,     5.4,     2.2,       574,    95.5
Arlington,00100000,"     5,884",     5.6,     3.0,"     5,758",    96.6
Ashburnham-Westminster,06100000,"     2,284",     5.8,     4.1,"     2,206",    97.6
Ashland,00140000,"     2,833",     6.4,     4.0,"     2,738",    96.9
Assabet Valley Regional Vocational Technical,08010000,"     1,149",     2.2,     0.3,"     1,149",    97.8
Athol-Royalston,06150000,"     1,563",    13.8,     9.3,"     1,435",    93.9
Atlantis Charter (District),04910000,"     1,314",     4.3,     2.5,"     1,298",    96.9
Attleboro,00160000,"     5,958",    10.0,     4.7,"     5,790",    94.0
Auburn,00170000,"     2,576",     5.0,     2.8,"     2,520",    97.1
Avon,00180000,       710,     5.4,     3.7,       689,    97.5
Ayer Shirley School District,06160000,"     1,670",     7.8,     4.0,"     1,609",    95.9
Barnstable,00200000,"     4,971",    10.4,     6.4,"     4,738",    94.1
Baystate Academy Charter Public School (District),35020000,       481,     6.0,     3.1,       468,    96.6
Bedford,00230000,"     2,694",     6.3,     2.9,"     2,628",    96.1
Belchertown,00240000,"     2,212",     5.7,     3.1,"     2,169",    96.2
