District Name,District Code,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded
Abby Kelley Foster Charter Public (District),4450000,82,98.8,0,0,0,1.2,0
Abington,10000,163,93.3,2.5,0,0.6,3.7,0
Academy Of the Pacific Rim Charter Public (District),4120000,59,93.2,6.8,0,0,0,0
Acton-Boxborough,6000000,439,97.3,2.1,0,0,0.7,0
Advanced Math and Science Academy Charter (District),4300000,141,98.6,1.4,0,0,0,0
Agawam,50000,286,90.9,2.1,0.3,0,6.6,0
Amesbury,70000,161,90.1,5.6,0,0.6,3.7,0
Amherst-Pelham,6050000,232,91.8,5.2,0.4,0.9,1.7,0
Andover,90000,460,97.6,1.7,0,0.4,0.2,0
Argosy Collegiate Charter School (District),35090000,60,58.3,25,0,0,16.7,0
Arlington,100000,346,95.1,4.6,0,0,0.3,0
Ashburnham-Westminster,6100000,172,95.3,1.7,0,0,2.9,0
Ashland,140000,217,96.8,0.9,0,0,2.3,0
Assabet Valley Regional Vocational Technical,8010000,267,98.5,0.4,0,0,1.1,0
Athol-Royalston,6150000,91,70.3,6.6,14.3,0,8.8,0
Atlantis Charter (District),4910000,86,96.5,2.3,0,0,1.2,0
Attleboro,160000,471,90.7,4.2,0,0.2,4.9,0
Auburn,170000,176,91.5,6.8,0,0,1.7,0
Avon,180000,46,78.3,17.4,0,0,4.3,0
Ayer Shirley School District,6160000,86,93,3.5,0,1.2,2.3,0
Barnstable,200000,405,81.5,12.6,0.2,0.2,5.4,0
Baystate Academy Charter Public School (District),35020000,50,94,0,0,0,6,0
Bedford,230000,189,95.8,2.6,0,0,1.6,0
Belchertown,240000,175,96,2.3,0,0,1.7,0
Bellingham,250000,161,93.8,3.1,0.6,1.2,1.2,0
Belmont,260000,322,98.8,1.2,0,0,0,0
Berkshire Arts and Technology Charter Public (District),4140000,31,93.5,0,0,3.2,3.2,0
Berkshire Hills,6180000,127,90.6,2.4,0,0,7.1,0
Berlin-Boylston,6200000,82,98.8,1.2,0,0,0,0
Beverly,300000,319,92.2,5.6,0.3,0.3,1.6,0
Billerica,310000,257,94.9,3.1,0,0.4,1.6,0
Blackstone Valley Regional Vocational Technical,8050000,301,99.7,0.3,0,0,0,0
Blackstone-Millville,6220000,95,94.7,4.2,0,0,1.1,0
Blue Hills Regional Vocational Technical,8060000,194,98.5,1,0,0.5,0,0
Boston,350000,"3,867",78.8,13.1,0.2,0.3,7.5,0
Boston Collegiate Charter (District),4490000,69,91.3,7.2,0,0,1.4,0
Boston Day and Evening Academy Charter (District),4240000,152,5.3,59.9,0,2.6,32.2,0
Boston Green Academy Horace Mann Charter School (District),4110000,78,88.5,7.7,0,0,3.8,0
Boston Preparatory Charter Public (District),4160000,71,88.7,9.9,0,0,1.4,0
Bourne,360000,123,92.7,4.9,0,0,2.4,0
Braintree,400000,435,96.1,1.6,0,0.2,2.1,0
Bridgewater-Raynham,6250000,377,95.2,3.2,0,0,1.6,0
Bristol County Agricultural,9100000,98,95.9,1,0,0,3.1,0
Bristol-Plymouth Regional Vocational Technical,8100000,295,95.9,0.3,0,0,3.7,0
Brockton,440000,"1,153",77.2,11.4,2.7,0.3,8.3,0
Brooke Charter School (District),4280000,42,78.6,11.9,0,0,9.5,0
Brookline,460000,509,94.9,4.5,0,0,0.6,0
Burlington,480000,254,93.3,6.3,0,0,0.4,0
Cambridge,490000,499,90.8,5.6,0.4,0,3.2,0
Canton,500000,265,95.5,2.6,0,0,1.9,0
Cape Cod Regional Vocational Technical,8150000,135,92.6,2.2,0,0,5.2,0
Carver,520000,107,97.2,0.9,0.9,0,0.9,0
Central Berkshire,6350000,135,96.3,0.7,0,0,3,0
Chelmsford,560000,379,95.3,2.6,1.8,0,0.3,0
