District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Abby Kelley Foster Charter Public (District),4450000,"1,437",3.2,2.2,"1,428",97.4
Abington,10000,"2,215",8.1,4.7,"2,125",95.8
Academy Of the Pacific Rim Charter Public (District),4120000,544,4.2,2.9,540,96.5
Acton-Boxborough,6000000,"5,322",3.7,2.3,"5,211",98.4
Acushnet,30000,942,6.8,3.8,914,96.1
Advanced Math and Science Academy Charter (District),4300000,974,2.8,1.3,966,98
Agawam,50000,"3,626",9.8,5.2,"3,495",94
Alma del Mar Charter School (District),4090000,809,3.5,1.5,798,97.9
Amesbury,70000,"2,010",13.7,7.6,"1,893",93.7
Amherst,80000,"1,104",15.8,8.6,"1,035",91
Amherst-Pelham,6050000,"1,308",4.7,2.3,"1,286",97
Andover,90000,"5,697",4.2,2.4,"5,589",97.7
Argosy Collegiate Charter School (District),35090000,579,5.4,2.2,574,95.5
Arlington,100000,"5,884",5.6,3,"5,758",96.6
Ashburnham-Westminster,6100000,"2,284",5.8,4.1,"2,206",97.6
Ashland,140000,"2,833",6.4,4,"2,738",96.9
Assabet Valley Regional Vocational Technical,8010000,"1,149",2.2,0.3,"1,149",97.8
Athol-Royalston,6150000,"1,563",13.8,9.3,"1,435",93.9
Atlantis Charter (District),4910000,"1,314",4.3,2.5,"1,298",96.9
Attleboro,160000,"5,958",10,4.7,"5,790",94
Auburn,170000,"2,576",5,2.8,"2,520",97.1
Avon,180000,710,5.4,3.7,689,97.5
Ayer Shirley School District,6160000,"1,670",7.8,4,"1,609",95.9
Barnstable,200000,"4,971",10.4,6.4,"4,738",94.1
Baystate Academy Charter Public School (District),35020000,481,6,3.1,468,96.6
Bedford,230000,"2,694",6.3,2.9,"2,628",96.1
Belchertown,240000,"2,212",5.7,3.1,"2,169",96.2
Bellingham,250000,"2,062",7.4,3.5,"2,000",95.7
Belmont,260000,"4,539",5.7,2.8,"4,431",96.6
Benjamin Banneker Charter Public (District),4200000,345,4.1,2,345,95.9
Benjamin Franklin Classical Charter Public (District),4470000,790,4.1,2,776,97.7
Berkley,270000,896,4.8,3.3,867,98.4
Berkshire Arts and Technology Charter Public (District),4140000,385,9.6,4.4,372,93.5
Berkshire Hills,6180000,"1,205",6.6,3.7,"1,169",96.3
Berlin-Boylston,6200000,"1,089",8.3,5.1,"1,054",94.8
Beverly,300000,"4,749",7.9,2.8,"4,636",97.4
Billerica,310000,"4,750",7.2,4,"4,602",96.4
Blackstone Valley Regional Vocational Technical,8050000,"1,236",1.5,0.7,"1,234",98.7
Blackstone-Millville,6220000,"1,620",8.9,3.8,"1,572",95.7
Blue Hills Regional Vocational Technical,8060000,898,4.2,1.6,896,96
Boston,350000,"50,831",13.4,9.4,"48,444",91.8
Boston Collegiate Charter (District),4490000,728,2.1,0.7,725,98.3
Boston Day and Evening Academy Charter (District),4240000,457,35.7,18.6,377,78
Boston Green Academy Horace Mann Charter School (District),4110000,517,7.4,4.1,517,92.6
Boston Preparatory Charter Public (District),4160000,674,1.9,0.6,672,98.4
Boston Renaissance Charter Public (District),4810000,965,7.2,4.8,946,94.7
Bourne,360000,"1,736",10.4,5,"1,667",93.3
Boxford,380000,704,7.1,3.8,682,95.9
Braintree,400000,"5,648",7.3,3.8,"5,458",97.3
Brewster,410000,436,6.7,5.3,420,96.9
Bridge Boston Charter School (District),4170000,342,3.8,1.8,341,96.5
Bridgewater-Raynham,6250000,"5,467",7.4,5,"5,303",95.5
Brimfield,430000,272,5.5,1.5,268,95.9
Bristol County Agricultural,9100000,449,4.2,1.1,449,95.8
Bristol-Plymouth Regional Vocational Technical,8100000,"1,322",2.3,0.4,"1,322",97.7
Brockton,440000,"15,995",12.2,6.9,"15,405",92.3
Brooke Charter School (District),4280000,"2,096",4.5,2.9,"2,070",96.7
Brookfield,450000,274,7.3,2.9,268,94.8
Brookline,460000,"7,135",7.7,3.3,"6,945",94.9
Burlington,480000,"3,533",8.8,4.4,"3,406",96.4
Cambridge,490000,"6,946",9.2,4,"6,757",93.9
Canton,500000,"3,255",5.7,3.6,"3,163",97
Cape Cod Lighthouse Charter (District),4320000,256,5.1,3.1,251,96.8
Cape Cod Regional Vocational Technical,8150000,651,8.4,2.9,636,93.7
Carlisle,510000,595,3.5,2.7,582,98.6
Carver,520000,"1,526",6.2,4.3,"1,484",96.4
Central Berkshire,6350000,"1,569",6.7,3.5,"1,522",96.3
Chelmsford,560000,"4,987",6.2,3.3,"4,853",96.5
Chelsea,570000,"6,410",13.1,6.9,"6,048",92.4
