District Name,District Code,Tests Taken,Reading / Writing,Writing,Math
Abby Kelley Foster Charter Public (District),4450000,12,593,,528
Abington,10000,64,565,,534
Acton-Boxborough,6000000,487,651,,682
Advanced Math and Science Academy Charter (District),4300000,164,629,,657
Agawam,50000,64,578,,564
Amesbury,70000,45,596,,570
Amherst-Pelham,6050000,41,656,,669
Andover,90000,456,607,,611
Arlington,100000,372,623,,617
Ashburnham-Westminster,6100000,60,599,,600
Ashland,140000,174,602,,635
Assabet Valley Regional Vocational Technical,8010000,59,519,,502
Athol-Royalston,6150000,2,,,
Atlantis Charter (District),4910000,75,479,,449
Attleboro,160000,262,560,,554
Auburn,170000,44,558,,566
Avon,180000,6,,,
Ayer Shirley School District,6160000,24,578,,535
Barnstable,200000,82,555,,553
Baystate Academy Charter Public School (District),35020000,22,474,,467
Bedford,230000,249,611,,626
Belchertown,240000,64,580,,584
Bellingham,250000,63,565,,555
Belmont,260000,396,650,,673
Berkshire Arts and Technology Charter Public (District),4140000,63,541,,492
Berkshire Hills,6180000,107,583,,546
Berlin-Boylston,6200000,63,599,,594
Beverly,300000,185,548,,522
Billerica,310000,258,538,,535
Blackstone Valley Regional Vocational Technical,8050000,183,584,,570
Blackstone-Millville,6220000,42,527,,524
Blue Hills Regional Vocational Technical,8060000,19,544,,535
Boston,350000,"2,299",536,,549
Boston Collegiate Charter (District),4490000,64,498,,511
Boston Day and Evening Academy Charter (District),4240000,5,,,
Boston Green Academy Horace Mann Charter School (District),4110000,32,430,,445
Boston Preparatory Charter Public (District),4160000,79,448,,474
Bourne,360000,91,527,,506
Braintree,400000,526,557,,570
Bridgewater-Raynham,6250000,153,563,,568
Bristol County Agricultural,9100000,23,552,,505
Bristol-Plymouth Regional Vocational Technical,8100000,57,544,,536
Brockton,440000,46,523,,496
Brooke Charter School (District),4280000,47,499,,545
Brookline,460000,533,639,,652
Burlington,480000,293,540,,534
Cambridge,490000,302,615,,601
Canton,500000,352,568,,567
Cape Cod Regional Vocational Technical,8150000,3,,,
Carver,520000,96,531,,521
Central Berkshire,6350000,56,523,,533
Chelmsford,560000,326,574,,579
Chelsea,570000,22,523,,520
Chicopee,610000,110,559,,546
City on a Hill Charter Public School Circuit Street (District),4370000,8,,,
Clinton,640000,72,525,,498
Codman Academy Charter Public (District),4380000,29,418,,417
Cohasset,650000,116,616,,585
Community Charter School of Cambridge (District),4360000,4,,,
Concord-Carlisle,6400000,375,639,,647
Danvers,710000,145,549,,530
Dartmouth,720000,113,572,,559
Dedham,730000,92,578,,586
Dennis-Yarmouth,6450000,56,558,,531
Dighton-Rehoboth,6500000,219,549,,537
Douglas,770000,46,560,,535
Dover-Sherborn,6550000,206,631,,642
Dracut,790000,157,519,,512
Dudley-Charlton Reg,6580000,218,568,,569
Duxbury,820000,344,592,,572
East Bridgewater,830000,75,556,,521
East Longmeadow,870000,115,569,,572
Easthampton,860000,33,534,,504
Easton,880000,340,577,,567
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,87,429,,425
Essex North Shore Agricultural and Technical School District,8170000,203,544,,519
Everett,930000,52,510,,495
Excel Academy Charter (District),4100000,142,465,,474
Fairhaven,940000,53,575,,591
Fall River,950000,154,518,,510
Falmouth,960000,110,583,,570
Fitchburg,970000,105,520,,502
Foxborough,990000,198,554,,568
Foxborough Regional Charter (District),4460000,50,560,,534
Framingham,1000000,197,592,,612
Francis W. Parker Charter Essential (District),4780000,64,604,,554
Franklin,1010000,531,580,,571
Franklin County Regional Vocational Technical,8180000,11,503,,514
Freetown-Lakeville,6650000,90,575,,569
Frontier,6700000,13,616,,596
Gardner,1030000,65,518,,510
Gateway,6720000,13,583,,559
Georgetown,1050000,114,577,,569
Global Learning Charter Public (District),4960000,13,538,,511
Gloucester,1070000,95,542,,532
Grafton,1100000,163,581,,588
Granby,1110000,34,554,,558
Greater Fall River Regional Vocational Technical,8210000,57,525,,506
Greater Lawrence Regional Vocational Technical,8230000,8,,,
Greater Lowell Regional Vocational Technical,8280000,37,504,,492
Greater New Bedford Regional Vocational Technical,8250000,12,543,,533
Greenfield,1140000,2,,,
Greenfield Commonwealth Virtual District,39010000,7,,,
