District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field
Abby Kelley Foster Charter Public (District),4450000,119.6,98.3,  11.9 to 1,74.1,86.6,
Abington,10000,146.7,99,  14.7 to 1,80.5,95.9,
Academy Of the Pacific Rim Charter Public (District),4120000,60.5,73.6,   8.4 to 1,33.9,85.1,
Acton-Boxborough,6000000,401.2,100,  12.9 to 1,87.1,96.8,
Acushnet,30000,68,100,  13.8 to 1,80.9,97.1,
Advanced Math and Science Academy Charter (District),4300000,80.3,92.5,  12.0 to 1,82.4,78.1,
Agawam,50000,289.4,100,  12.0 to 1,90,96.9,
Alma del Mar Charter School (District),4090000,73,71.2,  12.9 to 1,34.2,87.7,
Amesbury,70000,162.8,100,  11.0 to 1,89.9,95,
Amherst,80000,112.9,95.6,   9.3 to 1,87.8,95.7,
Amherst-Pelham,6050000,111.9,92.7,  11.4 to 1,81.1,97.3,
Andover,90000,484.2,99.6,  11.3 to 1,89.4,98.2,
Argosy Collegiate Charter School (District),35090000,44.2,67,  12.8 to 1,35.7,81.3,
Arlington,100000,469.7,99.3,  12.5 to 1,79.5,93.5,
Ashburnham-Westminster,6100000,162.5,99.4,  14.0 to 1,89.1,94.7,
Ashland,140000,208.5,99.5,  13.8 to 1,84.6,98.8,
Assabet Valley Regional Vocational Technical,8010000,113,95.6,  10.1 to 1,87.6,95.6,
Athol-Royalston,6150000,116.5,99.9,  13.2 to 1,70.6,88.8,
Atlantis Charter (District),4910000,99.5,83.7,  12.8 to 1,63.5,83.9,
Attleboro,160000,384.5,99.7,  15.3 to 1,84,94.5,
Auburn,170000,188.1,99.5,  13.7 to 1,88.3,94.7,
Avon,180000,70,98.6,  10.2 to 1,88.6,95.7,
Ayer Shirley School District,6160000,143.8,99.9,  11.3 to 1,84.2,94.8,
Barnstable,200000,409.2,99.3,  11.6 to 1,85.4,93.5,
Baystate Academy Charter Public School (District),35020000,53,67.9,   8.6 to 1,43.4,81.1,
Bedford,230000,242.4,100,  10.7 to 1,85,95.4,
Belchertown,240000,172.6,100,  12.3 to 1,95.9,100,
Bellingham,250000,154.1,100,  12.9 to 1,86.8,96.1,
Belmont,260000,282.5,99.6,  15.4 to 1,90.8,98.1,
Benjamin Banneker Charter Public (District),4200000,21,85.7,  15.7 to 1,76.2,90.5,
Benjamin Franklin Classical Charter Public (District),4470000,57.5,87.8,  14.2 to 1,63.5,91.3,
Berkley,270000,70.4,100,  12.4 to 1,81.5,91.5,
Berkshire Arts and Technology Charter Public (District),4140000,38.6,58.3,   9.5 to 1,76,89,
Berkshire Hills,6180000,112.9,100,  10.5 to 1,83.7,91.2,
Berlin-Boylston,6200000,91,100,  11.6 to 1,87.4,94,
Beverly,300000,361.7,99.4,  12.8 to 1,81.6,95.7,
Billerica,310000,353.7,100,  13.4 to 1,89,94.3,
Blackstone Valley Regional Vocational Technical,8050000,105,99,  11.8 to 1,88.6,83.8,
Blackstone-Millville,6220000,114.9,99.1,  13.4 to 1,70.5,90.3,
Blue Hills Regional Vocational Technical,8060000,80,100,  11.5 to 1,95,88.7,
Boston,350000,"4,256.00",97.9,  10.8 to 1,84.4,93.7,
Boston Collegiate Charter (District),4490000,75.2,78.1,   9.3 to 1,52.3,84.5,
Boston Day and Evening Academy Charter (District),4240000,29.3,85.3,  11.9 to 1,88,100,
Boston Green Academy Horace Mann Charter School (District),4110000,44.6,93.8,  10.9 to 1,70.6,93.7,
Boston Preparatory Charter Public (District),4160000,68.8,81.1,  10.1 to 1,36,81.1,
Boston Renaissance Charter Public (District),4810000,80.8,96.2,  11.6 to 1,69.5,86.4,
Bourne,360000,150,99.3,  10.4 to 1,86,94.7,
Boxford,380000,69.3,100,  10.7 to 1,75.3,97.7,
Braintree,400000,412.2,99.8,  13.0 to 1,92,96.6,
Brewster,410000,44.8,100,   9.8 to 1,83.3,92.2,
Bridge Boston Charter School (District),4170000,38.5,74,   8.7 to 1,42.9,92.2,
Bridgewater-Raynham,6250000,336.5,100,  16.0 to 1,88.7,97.6,
Brimfield,430000,26.3,100,  10.2 to 1,88.6,96.2,
Bristol County Agricultural,9100000,36.8,100,  13.6 to 1,84.6,89.1,
Bristol-Plymouth Regional Vocational Technical,8100000,105.3,96.2,  12.7 to 1,87.2,90,
Brockton,440000,"1,112.50",98.8,  13.7 to 1,81.2,93.4,
Brooke Charter School (District),4280000,180.4,64,  11.9 to 1,52.9,88.2,
Brookfield,450000,22.9,100,  12.2 to 1,78.2,95.6,
Brookline,460000,627.4,99.5,  11.0 to 1,86.5,95.1,
Burlington,480000,310.9,99.9,  11.1 to 1,91.8,97.2,
Cambridge,490000,755.9,98.6,   8.7 to 1,83.1,91.7,
Canton,500000,238.9,100,  13.5 to 1,89.4,95,
Cape Cod Lighthouse Charter (District),4320000,18.2,91.5,  13.7 to 1,100,72.7,
Cape Cod Regional Vocational Technical,8150000,67.6,86.7,   9.7 to 1,76.2,78.5,
Carlisle,510000,59.2,100,  10.4 to 1,91.9,97,
Carver,520000,124,100,  12.2 to 1,89.7,96.9,
Central Berkshire,6350000,118,99.2,  12.8 to 1,94.8,96.6,
Chelmsford,560000,380.9,99.1,  13.0 to 1,87.1,97.3,
Chelsea,570000,477,98.7,  12.7 to 1,65.9,89.7,
Chesterfield-Goshen,6320000,16.8,94,   8.8 to 1,73.8,85.7,
Chicopee,610000,580.8,99.3,  11.7 to 1,88.1,94.3,
Christa McAuliffe Charter Public (District),4180000,36.8,89.1,  10.6 to 1,68.7,90.5,
City on a Hill Charter Public School (District),4370000,20.3,74.7,  11.3 to 1,35,83.2,
Clarksburg,630000,15.2,94.7,  13.9 to 1,84.2,100,
Clinton,640000,154.4,100,  12.3 to 1,83.8,92.9,
Codman Academy Charter Public (District),4380000,44.6,68.4,   7.7 to 1,57.5,88.8,
Cohasset,650000,120.1,99.2,  11.8 to 1,82.9,94.6,
Collegiate Charter School of Lowell (District),35030000,57.9,73.9,  19.3 to 1,24.2,77.6,
Community Charter School of Cambridge (District),4360000,31.9,78.5,   9.0 to 1,40.9,89.7,
Community Day Charter Public School - Gateway (District),4260000,43.2,74.5,   9.3 to 1,41.7,81.5,
Community Day Charter Public School - Prospect (District),4400000,39.4,82.2,  10.2 to 1,64.5,79.7,
Community Day Charter Public School - R. Kingman Webster (District),4310000,44.5,75.3,   8.9 to 1,40.4,91,
Concord,670000,176.4,100,  11.3 to 1,89.6,97.1,
Concord-Carlisle,6400000,107.4,100,  12.3 to 1,90.1,98.1,
Conservatory Lab Charter (District),4390000,29.5,81.4,  15.2 to 1,56.8,94.1,
Conway,680000,13.9,100,  10.5 to 1,85.6,100,
