District Name,District Code,4 Year Private College,4 Year Public College,2 Year Private College,2 Year Public College,Other Post Secondary,Apprenticeship,Work,Military,Other,Unknown,Total Count
Abby Kelley Foster Charter Public (District),04450000,  24.4,  54.9,   0.0,  12.2,   0.0,   0.0,   3.7,   0.0,   4.9,   0.0,      82
Abington,00010000,  27.5,  28.9,   0.0,  18.1,   0.0,   2.0,   0.0,   2.7,  14.8,   6.0,     149
Academy Of the Pacific Rim Charter Public (District),04120000,  21.4,  51.8,   3.6,  10.7,  10.7,   0.0,   0.0,   0.0,   0.0,   1.8,      56
Acton-Boxborough,06000000,  43.9,  48.7,   1.4,   2.1,   0.2,   0.0,   0.7,   0.0,   1.2,   1.9,     431
Acushnet,00030000,,,,,,,,,,,       1
Advanced Math and Science Academy Charter (District),04300000,  51.8,  41.0,   0.0,   3.6,   0.7,   0.0,   2.9,   0.0,   0.0,   0.0,     139
Agawam,00050000,  24.8,  20.9,   0.4,  21.7,   0.0,   0.0,  15.5,   1.6,   3.1,  12.0,     258
Amesbury,00070000,  21.9,  32.5,   0.7,  17.2,   4.0,   0.0,  17.2,   2.6,   2.0,   2.0,     151
Amherst-Pelham,06050000,  41.4,  20.3,   0.0,  14.4,   0.5,   0.0,   2.7,   0.5,   1.8,  18.5,     222
Andover,00090000,  47.1,  41.3,   0.0,   3.6,   0.2,   0.0,   3.1,   0.7,   1.8,   2.2,     450
Argosy Collegiate Charter School (District),35090000,  25.7,  25.7,   0.0,  40.0,   0.0,   0.0,   0.0,   8.6,   0.0,   0.0,      35
Arlington,00100000,  57.1,  27.7,   0.0,   5.7,   1.2,   0.9,   1.2,   0.3,   1.2,   4.8,     336
Ashburnham-Westminster,06100000,  32.5,  31.4,   0.6,  16.0,   2.4,   0.0,  11.8,   2.4,   1.8,   1.2,     169
Ashland,00140000,  27.1,  48.6,   0.0,   9.3,   0.9,   0.0,   9.8,   0.5,   0.5,   3.3,     214
Assabet Valley Regional Vocational Technical,08010000,  11.0,  25.9,   0.4,  13.3,   0.0,   0.8,  45.6,   3.0,   0.0,   0.0,     263
Athol-Royalston,06150000,  12.9,  15.7,   0.0,  21.4,  11.4,   0.0,  37.1,   0.0,   0.0,   1.4,      70
Atlantis Charter (District),04910000,  19.0,  38.1,   0.0,  22.6,   0.0,   4.8,   8.3,   2.4,   0.0,   4.8,      84
Attleboro,00160000,  23.5,  25.1,   0.2,  18.1,   2.9,   0.2,  24.4,   3.8,   0.2,   1.6,     447
Auburn,00170000,  24.1,  47.5,   0.0,   9.9,   3.1,   0.0,  11.7,   1.9,   0.0,   1.9,     162
Avon,00180000,  26.3,  42.1,   0.0,  18.4,   0.0,   0.0,   7.9,   2.6,   0.0,   2.6,      38
Ayer Shirley School District,06160000,  25.6,  36.6,   0.0,  11.0,   1.2,   0.0,   6.1,   8.5,   0.0,  11.0,      82
