District/School Name,District/School Code,African American (#),Asian (#),Hispanic (#),White (#),Native American (#),"Native Hawaiian, Pacific Islander (#)","Multi-Race,Non-Hispanic (#)",Females (#),Males (#),FTE Count
Abby Kelley Foster Charter Public (District),04450000,          6.0,          2.0,          6.0,        166.2,          0.0,          0.0,          2.0,        143.2,         39.0,        182.2
Abington,00010000,          3.0,          1.0,          6.4,        257.7,          0.0,          0.0,          1.0,        225.1,         44.0,        269.1
Academy Of the Pacific Rim Charter Public (District),04120000,         22.0,          7.2,         10.0,         49.3,          0.0,          0.0,          2.0,         65.4,         25.0,         90.4
Acton-Boxborough,06000000,          4.0,         29.5,          9.5,        743.1,          1.0,          0.0,          1.0,        678.0,        110.1,        788.1
Acushnet,00030000,          1.0,          0.0,          0.0,        119.3,          0.0,          0.0,          0.0,        101.5,         18.8,        120.3
Advanced Math and Science Academy Charter (District),04300000,          0.0,          4.6,          2.0,        114.7,          0.0,          0.0,          2.0,         75.3,         48.0,        123.3
Agawam,00050000,          5.0,          1.0,          7.0,        627.0,          0.0,          0.0,          1.0,        529.1,        111.9,        641.0
Alma del Mar Charter School (District),04090000,         11.8,          1.0,         15.0,         96.5,          0.0,          0.0,          0.0,         95.3,         29.0,        124.3
Amesbury,00070000,          0.0,          0.0,          1.0,        243.3,          0.0,          0.0,          1.0,        197.9,         47.4,        245.3
Amherst,00080000,         16.8,         10.2,         40.7,        192.2,          0.0,          0.0,          7.5,        220.0,         46.9,        267.3
Amherst-Pelham,06050000,         34.4,          3.7,         34.0,        183.6,          0.0,          0.0,          5.5,        173.5,         87.2,        261.3
Andover,00090000,          3.0,         31.9,         24.6,        859.7,          1.0,          1.0,          3.0,        784.5,        139.7,        924.2
Argosy Collegiate Charter School (District),35090000,          4.9,          1.8,          4.5,         53.7,          0.0,          0.0,          1.0,         48.6,         17.3,         66.0
Arlington,00100000,         20.3,         25.1,         22.9,        765.5,          0.0,          1.0,         10.1,        671.7,        172.2,        844.9
Ashburnham-Westminster,06100000,          4.0,          0.0,          2.0,        296.6,          0.0,          0.0,          2.0,        234.8,         69.9,        304.6
Ashland,00140000,          2.0,          5.0,          3.0,        372.9,          0.0,          0.0,          1.0,        306.9,         77.0,        383.9
Assabet Valley Regional Vocational Technical,08010000,          1.0,          0.0,          6.0,        144.5,          0.0,          0.0,          0.0,         78.0,         73.5,        151.5
Athol-Royalston,06150000,          3.0,          0.0,          1.4,        212.2,          0.0,          0.0,          0.0,        177.6,         39.0,        216.6
Atlantis Charter (District),04910000,          3.0,          2.0,          0.0,        176.8,          2.0,          0.0,          2.0,        153.5,         32.3,        185.8
Attleboro,00160000,          7.6,          3.0,         21.4,        660.2,          1.0,          0.0,          6.4,        580.6,        117.0,        699.6
Auburn,00170000,          2.0,          2.4,         10.5,        319.5,          0.0,          0.0,          1.0,        284.7,         50.7,        335.4
Avon,00180000,          5.0,          2.0,          2.0,         92.6,          0.0,          0.0,          0.0,         82.6,         19.0,        101.6
Ayer Shirley School District,06160000,          3.0,          3.5,          6.0,        241.2,          0.0,          0.0,          1.0,        206.5,         48.1,        254.7
Barnstable,00200000,         11.0,          7.5,         13.0,        740.5,          0.6,          0.0,          3.0,        645.3,        130.2,        775.6
Baystate Academy Charter Public School (District),35020000,         12.0,          0.0,         10.9,         38.2,          0.0,          0.0,          0.0,         38.9,         22.2,         61.1
Bedford,00230000,         13.0,         12.7,          8.0,        401.3,          1.0,          0.0,          2.0,        344.2,         93.8,        438.0
Belchertown,00240000,          0.0,          0.0,          4.0,        305.7,          0.0,          0.0,          0.0,        256.1,         53.6,        309.7
Bellingham,00250000,          2.0,          3.0,          2.0,        333.3,          0.0,          0.0,          0.0,        276.5,         63.7,        340.3
Belmont,00260000,          7.8,         15.0,          9.0,        452.4,          0.0,          0.0,         13.4,        395.7,        101.9,        497.6
Benjamin Banneker Charter Public (District),04200000,         23.1,          2.0,          3.0,         27.0,          0.0,          0.0,          0.0,         46.3,          8.8,         55.1
Benjamin Franklin Classical Charter Public (District),04470000,          1.0,          1.0,          1.0,        104.1,          0.0,          0.0,          0.0,         95.1,         12.0,        107.1
Berkley,00270000,          0.0,          0.0,          1.0,        112.8,          0.0,          0.0,          0.0,         99.8,         14.0,        113.8
Berkshire Arts and Technology Charter Public (District),04140000,          0.0,          0.0,          1.0,         59.7,          0.0,          0.0,          1.0,         45.5,         16.2,         61.7
Berkshire Hills,06180000,          2.0,          2.0,          2.0,        209.4,          0.0,          0.0,          1.0,        160.6,         55.8,        216.4
Berlin-Boylston,06200000,          0.0,          0.0,          0.0,        152.1,          0.0,          0.0,          2.0,        127.3,         26.8,        154.1
Beverly,00300000,          4.0,          3.0,          6.8,        622.0,          0.0,          0.0,          0.0,        527.8,        108.0,        635.8
Billerica,00310000,          4.0,          5.6,          4.0,        691.2,          0.0,          0.0,          1.0,        591.7,        114.1,        705.8
Blackstone Valley Regional Vocational Technical,08050000,          0.0,          0.0,          3.0,        167.6,          0.0,          0.0,          0.0,         98.9,         71.7,        170.6
Blackstone-Millville,06220000,          0.0,          1.0,          6.0,        198.4,          0.0,          0.0,          0.0,        168.9,         36.5,        205.4
Blue Hills Regional Vocational Technical,08060000,          3.0,          3.0,          2.0,        108.1,          0.0,          0.0,          1.0,         61.4,         55.7,        117.1
Boston,00350000,"      2,459.5",        439.2,"      1,121.6","      4,498.3",         17.0,          9.0,         18.5,"      6,479.3","      2,077.9","      8,563.2"
Boston Collegiate Charter (District),04490000,         18.3,          6.0,         19.9,         67.1,          0.0,          0.0,          6.0,         79.8,         37.5,        117.3
Boston Day and Evening Academy Charter (District),04240000,         16.6,          4.0,          9.0,         21.0,          1.0,          0.0,          2.0,         36.6,         17.0,         53.6
Boston Green Academy Horace Mann Charter School (District),04110000,         22.1,          4.1,         10.9,         36.1,          0.0,          0.0,          0.0,         50.7,         22.5,         73.2
Boston Preparatory Charter Public (District),04160000,         22.4,          4.2,          8.0,         62.9,          0.0,          0.0,          2.1,         65.6,         34.0,         99.6
Boston Renaissance Charter Public (District),04810000,         31.0,          7.0,          7.0,        113.0,          0.0,          0.0,          1.0,        129.0,         30.0,        159.0
Bourne,00360000,          0.0,          2.0,          0.0,        245.8,          0.0,          0.0,          4.7,        213.9,         38.6,        252.5
Boxford,00380000,          0.0,          0.0,          5.0,        118.6,          0.0,          0.0,          0.0,        115.1,          8.6,        123.6
Braintree,00400000,          8.0,          6.6,          3.0,        731.4,          0.0,          1.6,          2.0,        617.6,        135.0,        752.7
Brewster,00410000,          0.0,          0.0,          1.0,         91.4,          0.0,          0.0,          0.0,         90.0,          2.4,         92.4
Bridge Boston Charter School (District),04170000,         16.6,          1.0,          3.5,         46.5,          0.0,          0.0,          1.0,         49.9,         17.8,         68.6
Bridgewater-Raynham,06250000,          6.0,          0.0,          3.0,        513.3,          0.0,          0.0,          2.0,        432.1,         92.1,        524.3
Brimfield,00430000,          0.0,          1.0,          0.0,         43.1,          0.0,          0.0,          0.0,         40.7,          3.4,         44.1
Bristol County Agricultural,09100000,          0.0,          0.0,          2.0,         53.2,          0.0,          0.0,          0.0,         32.2,         23.0,         55.2
Bristol-Plymouth Regional Vocational Technical,08100000,          3.0,          0.0,          2.0,        146.1,          2.0,          0.0,          0.0,         96.6,         56.5,        153.1
Brockton,00440000,        307.4,         25.0,         79.2,"      1,499.5",          5.3,          3.0,         31.7,"      1,576.0",        375.2,"      1,951.2"
Brooke Charter School (District),04280000,         67.0,          4.0,         51.0,        163.0,          0.0,          2.0,          8.0,        228.0,         67.0,        295.0
Brookfield,00450000,          0.0,          0.0,          0.0,         42.4,          0.0,          0.0,          0.0,         39.6,          2.8,         42.4
Brookline,00460000,        102.1,         73.3,         60.0,"      1,097.1",          0.0,          2.0,         13.8,"      1,061.4",        285.8,"      1,348.2"
Burlington,00480000,          1.0,         12.0,          6.0,        536.1,          0.0,          0.0,          1.6,        470.4,         85.3,        556.7
Cambridge,00490000,        232.4,         89.5,        117.5,"      1,073.1",          2.5,          2.0,          3.0,"      1,213.1",        306.9,"      1,520.0"
Canton,00500000,         11.0,          4.0,         10.0,        407.7,          0.0,          1.0,          8.0,        364.7,         77.0,        441.7
Cape Cod Lighthouse Charter (District),04320000,          0.0,          0.0,          0.5,         41.0,          0.0,          0.0,          0.0,         34.8,          6.7,         41.5
Cape Cod Regional Vocational Technical,08150000,          1.0,          0.0,          1.0,        100.8,          0.0,          0.0,          0.0,         57.6,         45.2,        102.8
Carlisle,00510000,          1.0,          3.8,          1.0,        105.7,          0.0,          0.0,          0.0,         91.7,         19.8,        111.5
Carver,00520000,          3.5,          1.0,          2.0,        202.1,          1.0,          1.0,          1.0,        167.8,         43.8,        211.6
Central Berkshire,06350000,          1.0,          0.0,          0.0,        225.3,          0.0,          0.0,          2.0,        182.2,         46.1,        228.3
Chelmsford,00560000,          6.0,         21.0,          7.0,        703.3,          0.0,          1.0,          2.0,        618.7,        120.6,        740.3
Chelsea,00570000,         10.4,          0.0,        176.9,        541.4,          0.0,          2.0,         19.3,        612.3,        137.7,        750.0
Chesterfield-Goshen,06320000,          0.0,          0.0,          0.0,         24.6,          0.0,          0.0,          0.0,         22.0,          2.6,         24.6
Chicopee,00610000,         17.4,          6.0,         53.0,"      1,045.5",          1.0,          1.0,          5.0,        922.6,        206.3,"      1,128.9"
Christa McAuliffe Charter Public (District),04180000,          1.0,          1.0,          4.0,         61.3,          1.0,          0.0,          0.0,         43.3,         25.0,         68.3
City on a Hill Charter Public School Circuit Street (District),04370000,         13.0,          1.6,          4.0,         26.8,          0.0,          0.0,          0.0,         33.1,         12.3,         45.4
Clarksburg,00630000,          0.0,          0.0,          0.0,         28.5,          0.0,          0.0,          0.0,         25.0,          3.5,         28.5
Clinton,00640000,          1.0,          1.0,         10.0,        243.0,          0.0,          0.0,          4.0,        212.4,         46.6,        259.0
Codman Academy Charter Public (District),04380000,         33.8,          3.0,          5.0,         36.3,          0.0,          0.5,          2.0,         59.6,         21.0,         80.6
Cohasset,00650000,          4.0,          1.5,          2.0,        209.9,          0.0,          0.0,          0.0,        171.7,         45.7,        217.4
Collegiate Charter School of Lowell (District),35030000,          5.0,          3.0,         12.0,         71.0,          0.0,          0.0,          0.0,         73.0,         18.0,         91.0
Community Charter School of Cambridge (District),04360000,         12.5,          6.0,         14.0,         34.6,          0.0,          0.0,          0.5,         46.5,         21.0,         67.5
Community Day Charter Public School - Gateway (District),04260000,          1.0,          1.0,         12.3,         54.7,          0.0,          0.0,          0.0,         60.6,          8.5,         69.1
Community Day Charter Public School - Prospect (District),04400000,          1.0,          1.0,         21.0,         42.3,          0.0,          0.0,          1.0,         52.6,         13.7,         66.3
Community Day Charter Public School - R. Kingman Webster (District),04310000,          2.0,          0.0,         12.0,         43.6,          0.0,          0.0,          1.0,         45.2,         13.5,         58.6
Concord,00670000,          8.6,         12.1,         10.4,        329.5,          0.0,          1.0,          0.0,        305.8,         55.8,        361.6
Concord-Carlisle,06400000,          5.4,          4.0,          7.2,        175.9,          0.0,          0.0,          0.0,        113.5,         78.9,        192.4
Conservatory Lab Charter (District),04390000,         19.0,          0.0,          7.0,         39.8,          0.0,          0.0,          1.0,         50.5,         16.3,         66.8
Conway,00680000,          0.0,          0.0,          0.0,         39.7,          0.0,          0.0,          0.0,         35.4,          4.3,         39.7
Danvers,00710000,          0.0,          1.0,          5.6,        459.9,          0.0,          0.0,          3.0,        378.6,         91.0,        469.5
Dartmouth,00720000,          2.0,          0.0,          2.3,        436.4,          0.0,          0.0,          3.0,        355.8,         87.9,        443.8
Dedham,00730000,          5.0,          5.0,          4.6,        434.0,          0.0,          0.0,          0.0,        367.7,         80.9,        448.6
Deerfield,00740000,          0.0,          0.0,          0.0,         81.6,          0.0,          0.0,          0.0,         74.0,          7.6,         81.6
